marker,feature,upstream,downstream,height,logP
h3k27ac,total_width,2000,12000,1.5,-26.21
h3k27ac,single_width,-8000,3000,6,-22.06
h3k27ac,single_signal,-8000,3000,5,-21.76
h3k27ac,total_signal,-8000,3000,4,-22.73
h3k27ac,kurtosis,-4000,3000,15,-18.15
h3k27ac,skewness,-53000,2000,50,-13.44
,,,,,
h3k27me3,total_signal,-7000,5000,22,-6.77
h3k27me3,total_width,-7000,5000,22,-6.73
h3k27me3,height,-7000,4000,22,-6.80
h3k27me3,single_width,-1000,6000,5,-10.64
,,,,,
h3k4me1,total_width,2000,6000,2,-30.87
h3k4me1,single_width,2000,5000,2,-27.30
h3k4me1,total_signal,2000,5000,2,-28.60
h3k4me1,single_signal,2000,5000,2,-27.08
,,,,,
h3k4me3,kurtosis,-8000,4000,30,-30.25
h3k4me3,total_width,-1000,6000,11,-34.64
h3k4me3,single_signal,2000,6000,11,-32.86
h3k4me3,height,2000,5000,8,-31.00
h3k4me3,single_width,2000,6000,11,-33.75
h3k4me3,total_signal,2000,5000,8,-32.07
