upstream,downstream,height,logP
125000,175000,75,-3.37514613294e-16
125000,175000,95,0.0
175000,175000,15,0.0
175000,175000,35,0.0
175000,175000,55,0.0
175000,175000,75,0.0
175000,175000,95,0.0
225000,175000,15,0.0
225000,175000,35,0.0
225000,175000,55,0.0
225000,175000,75,0.0
225000,175000,95,0.0
-225000,225000,15,-0.302339969301
-225000,225000,35,-1.45661121078
-225000,225000,55,-3.42510181598
-225000,225000,75,-2.989710115
-225000,225000,95,-0.00648236972397
-175000,225000,15,-0.689004509078
-175000,225000,35,-1.20212088861
-175000,225000,55,-3.38832818338
-175000,225000,75,-2.95894991055
-175000,225000,95,-0.00150976913842
-125000,225000,15,-0.453197545615
-125000,225000,35,-0.1028747325
-125000,225000,55,-3.08868528868
-125000,225000,75,-3.83932148429
-125000,225000,95,-3.64005464465e-05
-75000,225000,15,-0.606056532176
-75000,225000,35,-0.0310389522294
-75000,225000,55,-4.10165799854
-75000,225000,75,-4.77339769501
-75000,225000,95,-6.96819069352
-25000,225000,15,-1.15500480784
-25000,225000,35,-0.0138450682104
-25000,225000,55,-5.25413839721
-25000,225000,75,-8.26230097369e-07
-25000,225000,95,-8.2229079943e-09
25000,225000,15,-2.22594546156
25000,225000,35,-3.36177721521
25000,225000,55,-4.05639122023
25000,225000,75,-2.4384945558
25000,225000,95,-1.70063607231
75000,225000,15,-2.98475399561
75000,225000,35,-3.24808268958
75000,225000,55,-3.89791933591
75000,225000,75,-2.06484291004
75000,225000,95,-0.062911494159
125000,225000,15,-3.70617510517
125000,225000,35,-3.56347288911
125000,225000,55,-1.42496215091
125000,225000,75,-0.100376925396
125000,225000,95,-2.22269186668e-05
175000,225000,15,-2.67469162502
175000,225000,35,-2.4389843409
175000,225000,55,-0.000272080744547
175000,225000,75,-6.37184284527e-07
175000,225000,95,-5.39536878096e-11
225000,225000,15,0.0
225000,225000,35,0.0
225000,225000,55,0.0
225000,225000,75,0.0
225000,225000,95,0.0
25000,125000,35,-3.19512962409e-05
25000,125000,55,-3.09916477423e-10
25000,125000,75,-1.12998446041e-11
25000,125000,95,0.0
75000,125000,15,-5.34967812635
75000,125000,35,-3.98871153946e-10
75000,125000,55,0.0
75000,125000,75,0.0
75000,125000,95,0.0
125000,125000,15,0.0
125000,125000,35,0.0
125000,125000,55,0.0
125000,125000,75,0.0
125000,125000,95,0.0
175000,125000,15,0.0
175000,125000,35,0.0
175000,125000,55,0.0
175000,125000,75,0.0
175000,125000,95,0.0
225000,125000,15,0.0
225000,125000,35,0.0
225000,125000,55,0.0
225000,125000,75,0.0
225000,125000,95,0.0
-225000,175000,15,-0.504988600306
-225000,175000,35,-0.00278434876984
-225000,175000,55,-4.5991222108
-225000,175000,75,-3.28515520994
-225000,175000,95,-0.00622505714244
-175000,175000,15,-0.182163740343
-175000,175000,35,-0.00639559176155
-175000,175000,55,-4.75623798435
-175000,175000,75,-3.7736752583
-175000,175000,95,-8.69184545914e-05
-125000,175000,15,-0.290563950479
-125000,175000,35,-0.0397428057663
-125000,175000,55,-4.02181191762
-125000,175000,75,-1.98053966309e-05
-125000,175000,95,-7.89314972621e-06
-75000,175000,15,-0.175920102562
-75000,175000,35,-0.0092106589336
-75000,175000,55,-5.5389133372
-75000,175000,75,-1.58399504245e-05
-75000,175000,95,-1.42643111312e-05
-25000,175000,15,-0.0128714130305
-25000,175000,35,-0.00176001901224
-25000,175000,55,-1.36311234229e-06
