upstream,downstream,height,logP
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
175000,-125000,11,0.0
225000,-125000,191,0.0
225000,-125000,171,0.0
225000,-125000,151,0.0
225000,-125000,131,0.0
225000,-125000,111,0.0
225000,-125000,91,0.0
225000,-125000,71,0.0
225000,-125000,51,0.0
225000,-125000,31,0.0
225000,-125000,11,0.0
-225000,-75000,191,-3.20380253181
-225000,-75000,171,-2.48730201205
-225000,-75000,151,-2.61758752146
-225000,-75000,131,-3.62095245877
-225000,-75000,111,-2.83901406348
-225000,-75000,91,-3.07889478146
-225000,-75000,71,-3.18499132317
-225000,-75000,51,-4.14934969762
-225000,-75000,31,-3.64691998842
-225000,-75000,11,-4.01432121587
-175000,-75000,191,-3.29271005987
-175000,-75000,171,-2.45050924125
-175000,-75000,151,-2.75645698909
-175000,-75000,131,-3.60677938388
-175000,-75000,111,-2.67897069287
-175000,-75000,91,-2.83842361457
-175000,-75000,71,-2.71847772741
-175000,-75000,51,-3.975061295
-175000,-75000,31,-3.9352911371
-175000,-75000,11,-4.71388167664
-125000,-75000,191,-3.10774715623
-125000,-75000,171,-2.22309976344
-125000,-75000,151,-2.91935436865
-125000,-75000,131,-3.73893559662
-125000,-75000,111,-3.07069930988
-125000,-75000,91,-2.6364398382
-125000,-75000,71,-3.47998528646
-125000,-75000,51,-4.95798660453
-125000,-75000,31,-3.79286815813
-125000,-75000,11,-3.84168141683
-75000,-75000,191,0.0
-75000,-75000,171,0.0
-75000,-75000,151,0.0
-75000,-75000,131,0.0
-75000,-75000,111,0.0
-75000,-75000,91,0.0
-75000,-75000,71,0.0
-75000,-75000,51,0.0
-75000,-75000,31,0.0
-75000,-75000,11,0.0
-25000,-75000,191,0.0
-25000,-75000,171,0.0
-25000,-75000,151,0.0
-25000,-75000,131,0.0
-25000,-75000,111,0.0
-25000,-75000,91,0.0
-25000,-75000,71,0.0
-25000,-75000,51,0.0
-25000,-75000,31,0.0
-25000,-75000,11,0.0
25000,-75000,191,0.0
25000,-75000,171,0.0
25000,-75000,151,0.0
25000,-75000,131,0.0
25000,-75000,111,0.0
25000,-75000,91,0.0
25000,-75000,71,0.0
25000,-75000,51,0.0
25000,-75000,31,0.0
25000,-75000,11,0.0
75000,-75000,191,0.0
75000,-75000,171,0.0
75000,-75000,151,0.0
75000,-75000,131,0.0
75000,-75000,111,0.0
75000,-75000,91,0.0
75000,-75000,71,0.0
75000,-75000,51,0.0
75000,-75000,31,0.0
75000,-75000,11,0.0
125000,-75000,191,0.0
125000,-75000,171,0.0
125000,-75000,151,0.0
125000,-75000,131,0.0
125000,-75000,111,0.0
-125000,75000,91,-9.20144634405
-125000,75000,71,-10.1047497102
-125000,75000,51,-10.4653459983
-125000,75000,31,-9.7196961177
-125000,75000,11,-10.9900924628
-75000,75000,191,-7.78988673841
-75000,75000,171,-7.25224236261
-75000,75000,151,-7.78277086283
-75000,75000,131,-7.9063124384
-75000,75000,111,-8.6976173588
-75000,75000,91,-9.64818702795
-75000,75000,71,-11.0072569493
-75000,75000,51,-12.0413449458
-75000,75000,31,-11.4696459652
-75000,75000,11,-12.8972855512
-25000,75000,191,-7.95204525288
-25000,75000,171,-7.57691932642
-25000,75000,151,-8.16112505951
-25000,75000,131,-8.61054567885
-25000,75000,111,-9.05115714888
-25000,75000,91,-10.1426312164
-25000,75000,71,-12.4554725853
-25000,75000,51,-13.8183262177
-25000,75000,31,-13.3201515081
-25000,75000,11,-15.0472216642
25000,75000,191,-4.54717942077
25000,75000,171,-4.52521299468
25000,75000,151,-5.18641867373
25000,75000,131,-5.46506390076
25000,75000,111,-5.59225509977
25000,75000,91,-5.5104467759
25000,75000,71,-6.33344237623
25000,75000,51,-6.16769674856
25000,75000,31,-6.99903060465
25000,75000,11,-9.13885244378
75000,75000,191,0.0
75000,75000,171,0.0
75000,75000,151,0.0
