upstream,downstream,height,logP
25000,125000,35,-3.36453658573e-05
25000,125000,55,-3.75610815427
25000,125000,75,-1.1186198612e-14
25000,125000,95,-0.016947880588
75000,125000,15,-3.42621972577e-05
75000,125000,35,-5.31847475819e-10
75000,125000,55,0.0
75000,125000,75,0.0
75000,125000,95,0.0
125000,125000,15,0.0
125000,125000,35,0.0
125000,125000,55,0.0
125000,125000,75,0.0
125000,125000,95,0.0
175000,125000,15,0.0
175000,125000,35,0.0
175000,125000,55,0.0
175000,125000,75,0.0
175000,125000,95,0.0
225000,125000,15,0.0
225000,125000,35,0.0
225000,125000,55,0.0
225000,125000,75,0.0
225000,125000,95,0.0
-225000,175000,15,-0.761093778271
-225000,175000,35,-0.00412780820859
-225000,175000,55,-3.51620255219
-225000,175000,75,-3.46928541224
-225000,175000,95,-0.00131910901172
-175000,175000,15,-0.212509894084
-175000,175000,35,-0.00747821526206
-175000,175000,55,-3.36943548602
-175000,175000,75,-4.86838706262
-175000,175000,95,-2.05620170373e-05
-125000,175000,15,-0.170968159987
-125000,175000,35,-0.00750649009188
-125000,175000,55,-3.78373303343
-125000,175000,75,-6.53242352704
-125000,175000,95,-1.64522490201e-06
-75000,175000,15,-0.0176395799114
-75000,175000,35,-0.000486115600008
-75000,175000,55,-6.55453097106
-75000,175000,75,-6.29024157031
-75000,175000,95,-5.68746087781e-06
-25000,175000,15,-0.00113179268985
-25000,175000,35,-0.000224086892902
-25000,175000,55,-7.73910425337e-06
-25000,175000,75,-2.10426047899e-06
-25000,175000,95,-2.34453808765e-06
25000,175000,15,-0.00747113870368
25000,175000,35,-0.00141477434969
25000,175000,55,-0.00142777458275
25000,175000,75,-0.000163216942866
25000,175000,95,-0.254355197796
75000,175000,15,-0.0136312399151
75000,175000,35,-0.00655757181395
75000,175000,55,-0.0311794764485
75000,175000,75,-3.9721508126e-08
75000,175000,95,-0.000126559707179
125000,175000,15,-0.0116019978177
125000,175000,35,-0.0290811304681
125000,175000,55,-1.01889302924e-07
125000,-75000,95,0.0
175000,-75000,15,0.0
175000,-75000,35,0.0
175000,-75000,55,0.0
175000,-75000,75,0.0
175000,-75000,95,0.0
225000,-75000,15,0.0
225000,-75000,35,0.0
225000,-75000,55,0.0
225000,-75000,75,0.0
225000,-75000,95,0.0
-225000,-25000,15,-0.226331743258
-225000,-25000,35,-3.11343267419
-225000,-25000,55,-2.81530421782
-225000,-25000,75,-1.36848861643
-225000,-25000,95,-0.980244213942
-175000,-25000,15,-0.0219324644994
-175000,-25000,35,-3.35295279411
-175000,-25000,55,-3.01400474608
-175000,-25000,75,-2.14223828602
-175000,-25000,95,-1.68598088302
-125000,-25000,15,-0.0214795900929
-125000,-25000,35,-3.10329467465
-125000,-25000,55,-3.82411493611
