upstream,downstream,height,logP
-225000,-225000,191,0.0
-225000,-225000,171,0.0
-225000,-225000,151,0.0
-225000,-225000,131,0.0
-225000,-225000,111,0.0
-225000,-225000,91,0.0
-225000,-225000,71,0.0
-225000,-225000,51,0.0
-225000,-225000,31,0.0
-225000,-225000,11,-0.796524701836
-175000,-225000,191,0.0
-175000,-225000,171,0.0
-175000,-225000,151,0.0
-175000,-225000,131,0.0
-175000,-225000,111,0.0
-175000,-225000,91,0.0
-175000,-225000,71,0.0
-175000,-225000,51,0.0
-175000,-225000,31,0.0
-175000,-225000,11,0.0
-125000,-225000,191,0.0
-125000,-225000,171,0.0
-125000,-225000,151,0.0
-125000,-225000,131,0.0
-125000,-225000,111,0.0
-125000,-225000,91,0.0
-125000,-225000,71,0.0
-125000,-225000,51,0.0
-125000,-225000,31,0.0
-125000,-225000,11,0.0
-75000,-225000,191,0.0
-75000,-225000,171,0.0
-75000,-225000,151,0.0
-75000,-225000,131,0.0
-75000,-225000,111,0.0
-75000,-225000,91,0.0
-75000,-225000,71,0.0
-75000,-225000,51,0.0
-75000,-225000,31,0.0
-75000,-225000,11,0.0
-25000,-225000,191,0.0
-25000,-225000,171,0.0
-25000,-225000,151,0.0
-25000,-225000,131,0.0
-25000,-225000,111,0.0
-25000,-225000,91,0.0
-25000,-225000,71,0.0
-25000,-225000,51,0.0
-25000,-225000,31,0.0
-25000,-225000,11,0.0
25000,-225000,191,0.0
25000,-225000,171,0.0
25000,-225000,151,0.0
25000,-225000,131,0.0
25000,-225000,111,0.0
25000,-225000,91,0.0
25000,-225000,71,0.0
25000,-225000,51,0.0
25000,-225000,31,0.0
25000,-225000,11,0.0
75000,-225000,191,0.0
75000,-225000,171,0.0
75000,-225000,151,0.0
75000,-225000,131,0.0
75000,-225000,111,0.0
75000,-225000,91,0.0
75000,-225000,71,0.0
75000,-225000,51,0.0
75000,-225000,31,0.0
75000,-225000,11,0.0
125000,-225000,191,0.0
125000,-225000,171,0.0
125000,-225000,151,0.0
125000,-225000,131,0.0
125000,-225000,111,0.0
125000,-225000,91,0.0
125000,-225000,71,0.0
125000,-225000,51,0.0
125000,-225000,31,0.0
125000,-225000,11,0.0
175000,-225000,191,0.0
175000,-225000,171,0.0
175000,-225000,151,0.0
175000,-225000,131,0.0
175000,-225000,111,0.0
175000,-225000,91,0.0
175000,-225000,71,0.0
175000,-225000,51,0.0
175000,-225000,31,0.0
175000,-225000,11,0.0
225000,-225000,191,0.0
225000,-225000,171,0.0
225000,-225000,151,0.0
225000,-225000,131,0.0
225000,-225000,111,0.0
225000,-225000,91,0.0
225000,-225000,71,0.0
225000,-225000,51,0.0
225000,-225000,31,0.0
225000,-225000,11,0.0
-225000,-175000,191,-2.83124196397
-225000,-175000,171,-2.81611217217
-225000,-175000,151,-2.58005292632
-225000,-175000,131,-2.91197245459
-225000,-175000,111,-2.00481875306
-225000,-175000,91,-1.90553976002
-225000,-175000,71,-2.02705860506
-225000,-175000,51,-2.47825587028
-225000,-175000,31,-3.12043858343
-225000,-175000,11,-2.94488924271
-175000,-175000,191,0.0
-175000,-175000,171,0.0
-175000,-175000,151,0.0
-175000,-175000,131,0.0
-175000,-175000,111,0.0
-175000,-175000,91,0.0
-175000,-175000,71,0.0
-175000,-175000,51,0.0
-175000,-175000,31,0.0
-175000,-175000,11,0.0
-125000,-175000,191,0.0
-125000,-175000,171,0.0
-125000,-175000,151,0.0
-125000,-175000,131,0.0
-125000,-175000,111,0.0
-225000,25000,191,-6.08155307153
-225000,25000,171,-5.40011780123
-225000,25000,151,-5.55073726303
-225000,25000,131,-6.75708019112
-225000,25000,111,-6.88366766326
-225000,25000,91,-7.80712094681
-225000,25000,71,-8.38177162065
-225000,25000,51,-8.95259374084
-225000,25000,31,-9.60336806389
-225000,25000,11,-10.078856235
-175000,25000,191,-6.64628202055
-175000,25000,171,-5.90114160764
-175000,25000,151,-6.31933906915
-175000,25000,131,-7.75500189864
-175000,25000,111,-8.21908229012
-175000,25000,91,-8.65658238277
-175000,25000,71,-9.19923026068
-175000,25000,51,-9.93396519784
-175000,25000,31,-10.4363612266
-175000,25000,11,-11.4527070915
-125000,25000,191,-6.74465515887
-125000,25000,171,-6.3513550703
-125000,25000,151,-7.12507856815
-125000,25000,131,-9.11584345668
-125000,25000,111,-9.67583252807
-125000,25000,91,-10.0865469482
-125000,25000,71,-11.1201540012
-125000,25000,51,-11.3362103447
-125000,25000,31,-11.2678798518
