upstream,downstream,height,logP
25000,125000,191,-2.84338630661
25000,125000,171,-3.01982951257
25000,125000,151,-3.9254492458
25000,125000,131,-4.77901289975
25000,125000,111,-5.13830868537
25000,125000,91,-5.08704158466
25000,125000,71,-6.35962218246
25000,125000,51,-6.95579827027
25000,125000,31,-8.32177434585
25000,125000,11,-10.8280714729
75000,125000,191,-1.07865721018
75000,125000,171,-0.933755342799
75000,125000,151,-1.3002461127
75000,125000,131,-1.96863257931
75000,125000,111,-1.78505282565
75000,125000,91,-1.69136801308
75000,125000,71,-2.75606124815
75000,125000,51,-3.84456281374
75000,125000,31,-5.66597006063
75000,125000,11,-7.78328835572
125000,125000,191,0.0
125000,125000,171,0.0
125000,125000,151,0.0
125000,125000,131,0.0
125000,125000,111,0.0
125000,125000,91,0.0
125000,125000,71,0.0
125000,125000,51,0.0
125000,125000,31,0.0
125000,125000,11,0.0
175000,125000,191,0.0
175000,125000,171,0.0
175000,125000,151,0.0
175000,125000,131,0.0
175000,125000,111,0.0
175000,125000,91,0.0
175000,125000,71,0.0
175000,125000,51,0.0
175000,125000,31,0.0
175000,125000,11,0.0
225000,125000,191,0.0
225000,125000,171,0.0
225000,125000,151,0.0
225000,125000,131,0.0
225000,125000,111,0.0
225000,125000,91,0.0
225000,125000,71,0.0
225000,125000,51,0.0
225000,125000,31,0.0
225000,125000,11,0.0
-225000,175000,191,-6.85447554878
-225000,175000,171,-6.17508265021
-225000,175000,151,-6.44815318044
-225000,175000,131,-7.10923629819
-225000,175000,111,-7.29920524839
-225000,175000,91,-7.88410373246
-225000,175000,71,-8.41378696306
-225000,175000,51,-9.07943162459
-225000,175000,31,-9.94889056072
-225000,175000,11,-10.1732335646
-175000,175000,191,-7.2811686767
-175000,175000,171,-6.60998593503
-175000,175000,151,-7.10403311191
-175000,175000,131,-7.6351192493
-175000,175000,111,-8.07855456081
-175000,175000,91,-8.35727867819
-175000,175000,71,-9.05828867555
-175000,175000,51,-9.97317807727
-175000,175000,31,-10.729213531
-175000,175000,11,-11.2285399605
-125000,175000,191,-7.21338198933
-125000,175000,171,-6.84425142662
-125000,175000,151,-7.6905428604
-125000,175000,131,-8.25701404913
-125000,175000,111,-8.8573639098
-125000,175000,91,-9.48079914041
-125000,175000,71,-10.2580257073
-125000,175000,51,-10.8345102558
-125000,175000,31,-11.5062140971
-125000,175000,11,-11.7629918272
-75000,175000,191,-6.84127271583
-75000,175000,171,-7.05639594068
-75000,175000,151,-7.75014571447
-75000,175000,131,-7.91023252512
-75000,175000,111,-8.85807028922
-75000,175000,91,-9.78594799413
-75000,175000,71,-10.741179794
-75000,175000,51,-11.7508243832
-75000,175000,31,-12.9080701961
-75000,175000,11,-13.6407955961
-25000,175000,191,-6.83364570712
-25000,175000,171,-7.22362561726
-25000,175000,151,-7.90530926729
-25000,175000,131,-8.16634500841
-25000,175000,111,-8.82577418599
-25000,175000,91,-10.0011818179
-25000,175000,71,-11.262313417
-25000,175000,51,-12.095506101
-25000,175000,31,-13.3349582787
-25000,175000,11,-14.3328177046
25000,175000,191,-3.20692246237
25000,175000,171,-3.37778197574
25000,175000,151,-3.74210681403
25000,175000,131,-3.5584842978
25000,175000,111,-3.47569406256
25000,175000,91,-4.05247230535
25000,175000,71,-4.63264206927
25000,175000,51,-5.21226316011
25000,175000,31,-6.48988813627
25000,175000,11,-8.73127102133
75000,175000,191,-1.73682273925
75000,175000,171,-1.46552406239
75000,175000,151,-1.5689388276
75000,175000,131,-1.30480326089
75000,175000,111,-1.16981313951
75000,175000,91,-1.29000731222
75000,175000,71,-1.81520043375
75000,175000,51,-2.51155766316
75000,175000,31,-3.45806442049
75000,175000,11,-5.46105994432
125000,175000,191,-1.9502304215
125000,175000,171,-1.83647778696
125000,175000,151,-1.5871706639
125000,175000,131,-0.847073263832
125000,175000,111,-0.755601750157
-225000,-225000,191,0.0
-225000,-225000,171,0.0
-225000,-225000,151,0.0
-225000,-225000,131,0.0
-225000,-225000,111,0.0
-225000,-225000,91,0.0
-225000,-225000,71,0.0
-225000,-225000,51,0.0
-225000,-225000,31,0.0
-225000,-225000,11,-0.796524701836
-175000,-225000,191,0.0
-175000,-225000,171,0.0
-175000,-225000,151,0.0
-175000,-225000,131,0.0
-175000,-225000,111,0.0
-175000,-225000,91,0.0
-175000,-225000,71,0.0
-175000,-225000,51,0.0
-175000,-225000,31,0.0
-175000,-225000,11,0.0
-125000,-225000,191,0.0
-125000,-225000,171,0.0
-125000,-225000,151,0.0
-125000,-225000,131,0.0
-125000,-225000,111,0.0
-125000,-225000,91,0.0
-125000,-225000,71,0.0
-125000,-225000,51,0.0
-125000,-225000,31,0.0
-125000,-225000,11,0.0
-75000,-225000,191,0.0
-75000,-225000,171,0.0
-75000,-225000,151,0.0
-75000,-225000,131,0.0
-75000,-225000,111,0.0
-75000,-225000,91,0.0
-75000,-225000,71,0.0
-75000,-225000,51,0.0
-75000,-225000,31,0.0
-75000,-225000,11,0.0
-25000,-225000,191,0.0
-25000,-225000,171,0.0
-25000,-225000,151,0.0
-25000,-225000,131,0.0
-25000,-225000,111,0.0
-25000,-225000,91,0.0
-25000,-225000,71,0.0
-25000,-225000,51,0.0
-25000,-225000,31,0.0
-25000,-225000,11,0.0
25000,-225000,191,0.0
25000,-225000,171,0.0
25000,-225000,151,0.0
25000,-225000,131,0.0
25000,-225000,111,0.0
25000,-225000,91,0.0
25000,-225000,71,0.0
25000,-225000,51,0.0
25000,-225000,31,0.0
25000,-225000,11,0.0
75000,-225000,191,0.0
75000,-225000,171,0.0
75000,-225000,151,0.0
75000,-225000,131,0.0
75000,-225000,111,0.0
75000,-225000,91,0.0
75000,-225000,71,0.0
75000,-225000,51,0.0
75000,-225000,31,0.0
75000,-225000,11,0.0
125000,-225000,191,0.0
125000,-225000,171,0.0
125000,-225000,151,0.0
125000,-225000,131,0.0
125000,-225000,111,0.0
125000,-225000,91,0.0
125000,-225000,71,0.0
125000,-225000,51,0.0
125000,-225000,31,0.0
125000,-225000,11,0.0
175000,-225000,191,0.0
175000,-225000,171,0.0
175000,-225000,151,0.0
175000,-225000,131,0.0
175000,-225000,111,0.0
175000,-225000,91,0.0
175000,-225000,71,0.0
175000,-225000,51,0.0
175000,-225000,31,0.0
175000,-225000,11,0.0
225000,-225000,191,0.0
225000,-225000,171,0.0
225000,-225000,151,0.0
225000,-225000,131,0.0
225000,-225000,111,0.0
225000,-225000,91,0.0
225000,-225000,71,0.0
225000,-225000,51,0.0
225000,-225000,31,0.0
225000,-225000,11,0.0
-225000,-175000,191,-2.82637253859
-225000,-175000,171,-2.81520204877
-225000,-175000,151,-2.57373197514
-225000,-175000,131,-2.9286776043
-225000,-175000,111,-2.03030887822
-225000,-175000,91,-1.93642387284
-225000,-175000,71,-2.06739405014
-225000,-175000,51,-2.44479932919
-225000,-175000,31,-3.01624401092
-225000,-175000,11,-2.8830746428
-175000,-175000,191,0.0
-175000,-175000,171,0.0
-175000,-175000,151,0.0
-175000,-175000,131,0.0
-175000,-175000,111,0.0
-175000,-175000,91,0.0
-175000,-175000,71,0.0
-175000,-175000,51,0.0
-175000,-175000,31,0.0
-175000,-175000,11,0.0
-125000,-175000,191,0.0
-125000,-175000,171,0.0
-125000,-175000,151,0.0
-125000,-175000,131,0.0
-125000,-175000,111,0.0
-225000,25000,191,-6.12007726472
-225000,25000,171,-5.44031546038
-225000,25000,151,-5.53704915692
-225000,25000,131,-6.79069697029
-225000,25000,111,-7.0323519525
-225000,25000,91,-7.99071863157
-225000,25000,71,-8.64271572299
-225000,25000,51,-9.10226016515
-225000,25000,31,-10.2216577827
-225000,25000,11,-10.1551477864
-175000,25000,191,-6.6868091816
-175000,25000,171,-5.91525471226
-175000,25000,151,-6.34964221509
-175000,25000,131,-7.75199619285
-175000,25000,111,-8.34515773315
-175000,25000,91,-8.76919191127
-175000,25000,71,-9.40763257762
-175000,25000,51,-10.188340608
-175000,25000,31,-11.1239157626
-175000,25000,11,-11.5147638289
-125000,25000,191,-6.75343482267
-125000,25000,171,-6.38913186839
-125000,25000,151,-7.19212524784
-125000,25000,131,-9.10906156957
-125000,25000,111,-9.85432432301
-125000,25000,91,-10.2523716441
-125000,25000,71,-11.4238707677
-125000,25000,51,-11.7117039492
-125000,25000,31,-12.0626347455
-125000,25000,11,-12.2121526334
-75000,25000,191,-6.46131290962
-75000,25000,171,-6.52779903051
-75000,25000,151,-7.07655730325
-75000,25000,131,-8.32293812218
-75000,25000,111,-9.51541842109
-75000,25000,91,-10.0722858222
-75000,25000,71,-11.9444351623
-75000,25000,51,-12.8708104328
-75000,25000,31,-14.3057681762
-75000,25000,11,-14.9639926719
-25000,25000,191,-6.19288470965
-25000,25000,171,-6.33420743196
-25000,25000,151,-6.8398280962
-25000,25000,131,-8.47858753284
-25000,25000,111,-9.67701133715
-25000,25000,91,-9.97282486574
-25000,25000,71,-12.6827237439
-25000,25000,51,-13.5019373719
-25000,25000,31,-16.7075093614
-25000,25000,11,-17.9354997643
25000,25000,191,0.0
25000,25000,171,0.0
25000,25000,151,0.0
25000,25000,131,0.0
25000,25000,111,0.0
25000,25000,91,0.0
25000,25000,71,0.0
25000,25000,51,0.0
25000,25000,31,0.0
25000,25000,11,-0.796524701836
75000,25000,191,0.0
75000,25000,171,0.0
75000,25000,151,0.0
75000,25000,131,0.0
75000,25000,111,0.0
75000,25000,91,0.0
75000,25000,71,0.0
75000,25000,51,0.0
75000,25000,31,0.0
75000,25000,11,0.0
125000,25000,191,0.0
125000,25000,171,0.0
125000,25000,151,0.0
125000,25000,131,0.0
125000,25000,111,0.0
125000,25000,91,0.0
125000,25000,71,0.0
125000,25000,51,0.0
125000,25000,31,0.0
125000,25000,11,0.0
175000,25000,191,0.0
175000,25000,171,0.0
175000,25000,151,0.0
175000,25000,131,0.0
175000,25000,111,0.0
175000,25000,91,0.0
175000,25000,71,0.0
175000,25000,51,0.0
175000,25000,31,0.0
175000,25000,11,0.0
225000,25000,191,0.0
225000,25000,171,0.0
225000,25000,151,0.0
225000,25000,131,0.0
225000,25000,111,0.0
225000,25000,91,0.0
225000,25000,71,0.0
225000,25000,51,0.0
225000,25000,31,0.0
225000,25000,11,0.0
-225000,75000,191,-6.9159941838
-225000,75000,171,-5.96661204922
-225000,75000,151,-6.21307039733
-225000,75000,131,-7.0163585123
-225000,75000,111,-7.61192519997
-225000,75000,91,-8.39189269388
-225000,75000,71,-8.92342217047
-225000,75000,51,-9.34972905302
-225000,75000,31,-10.2195268255
-225000,75000,11,-10.729454243
-175000,75000,191,-7.44493828596
-175000,75000,171,-6.39867246584
-175000,75000,151,-7.01842622574
-175000,75000,131,-7.75925464324
-175000,75000,111,-8.69965980636
-175000,75000,91,-9.0291391954
-175000,75000,71,-9.59815457221
-175000,75000,51,-10.2390914293
-175000,75000,31,-11.0920118041
-175000,75000,11,-11.7433110737
-125000,75000,191,-7.67312759059
-125000,75000,171,-7.01960397929
-125000,75000,151,-7.88307068221
-125000,75000,131,-8.91211502149
-125000,75000,111,-10.000392864
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
175000,-125000,11,0.0
225000,-125000,191,0.0
225000,-125000,171,0.0
225000,-125000,151,0.0
225000,-125000,131,0.0
225000,-125000,111,0.0
225000,-125000,91,0.0
225000,-125000,71,0.0
225000,-125000,51,0.0
225000,-125000,31,0.0
225000,-125000,11,0.0
-225000,-75000,191,-3.37609322701
-225000,-75000,171,-2.56772739336
-225000,-75000,151,-2.77051384379
-225000,-75000,131,-3.75391965352
-225000,-75000,111,-2.98503425511
-225000,-75000,91,-3.22106736826
-225000,-75000,71,-3.18252047947
-225000,-75000,51,-3.80071385498
-225000,-75000,31,-3.89571169748
-225000,-75000,11,-3.98425051496
-175000,-75000,191,-3.40633818534
-175000,-75000,171,-2.51828450859
-175000,-75000,151,-2.85651864437
-175000,-75000,131,-3.66864163055
-175000,-75000,111,-2.85664183885
-175000,-75000,91,-3.08205577384
-175000,-75000,71,-2.97296409261
-175000,-75000,51,-3.95309201593
-175000,-75000,31,-4.39365785594
-175000,-75000,11,-4.72360278414
-125000,-75000,191,-3.12576457506
-125000,-75000,171,-2.22640289774
-125000,-75000,151,-2.92465726192
-125000,-75000,131,-3.7712052299
-125000,-75000,111,-3.14055128318
-125000,-75000,91,-2.79877827948
-125000,-75000,71,-3.6564239599
-125000,-75000,51,-4.95881851535
-125000,-75000,31,-4.15829226765
-125000,-75000,11,-4.13204752321
-75000,-75000,191,0.0
-75000,-75000,171,0.0
-75000,-75000,151,0.0
-75000,-75000,131,0.0
-75000,-75000,111,0.0
-75000,-75000,91,0.0
-75000,-75000,71,0.0
-75000,-75000,51,0.0
-75000,-75000,31,0.0
-75000,-75000,11,0.0
-25000,-75000,191,0.0
-25000,-75000,171,0.0
-25000,-75000,151,0.0
-25000,-75000,131,0.0
-25000,-75000,111,0.0
-25000,-75000,91,0.0
-25000,-75000,71,0.0
-25000,-75000,51,0.0
-25000,-75000,31,0.0
-25000,-75000,11,0.0
25000,-75000,191,0.0
25000,-75000,171,0.0
25000,-75000,151,0.0
25000,-75000,131,0.0
25000,-75000,111,0.0
25000,-75000,91,0.0
25000,-75000,71,0.0
25000,-75000,51,0.0
25000,-75000,31,0.0
25000,-75000,11,0.0
75000,-75000,191,0.0
75000,-75000,171,0.0
75000,-75000,151,0.0
75000,-75000,131,0.0
75000,-75000,111,0.0
75000,-75000,91,0.0
75000,-75000,71,0.0
75000,-75000,51,0.0
