downstream,best_logP
-225000,0.796524701836
-175000,2.84854182447
-125000,4.10998438128
-75000,5.30836862562
-50000,5.77994899708
-25000,8.86590180274
-13000,10.9272229434
-7000,13.3171546726
-4000,14.7187390488
-1000,16.8971379177
0,17.9558095528
1000,19.8995338373
2000,19.7430601377
3000,20.4452557716
4000,20.3786912486
5000,20.0906438636
6000,20.0882907214
7000,20.072449985
8000,19.1931951562
9000,18.6976403382
10000,18.1897927902
11000,18.8834359868
12000,17.8762374531
14000,18.1583678651
17000,17.2127420823
23000,17.0599150441
24000,15.7985688804
25000,14.557835274
29000,15.5712284039
35000,14.8562342865
36000,14.6174489467
48000,15.8343266444
50000,14.6674821948
60000,14.3891782083
72000,14.7168579918
75000,13.5381537823
84000,13.7847721684
96000,14.2568664168
100000,13.8855487228
125000,14.027079764
175000,10.7041785994
225000,8.46188797521
