upstream,best_logP
-225000,8.07192474819
-175000,9.32986061781
-125000,10.2263490457
-100000,11.1931377321
-75000,11.7067291295
-50000,13.8614287707
-38000,14.3049350799
-27000,16.9595382033
-26000,15.8705123533
-25000,14.4256470737
-21000,16.6830648428
-18000,17.0033304242
-15000,17.9295913686
-14000,18.2422541244
-13000,18.2437207811
-12000,18.102205505
-11000,18.8725755728
-10000,19.539309422
-9000,20.0867855634
-8000,20.4452557716
-7000,20.0904927068
-6000,20.0803450294
-5000,19.7782454136
-4000,19.0504641696
-3000,18.7664530643
-2000,17.8762374531
0,19.0229988907
3000,18.8834359868
9000,16.9284118953
10000,15.7432264897
15000,14.5030375453
21000,14.7397844216
22000,11.8136348679
25000,9.58854142504
34000,12.5582893556
46000,9.4925303698
50000,7.50873948766
75000,7.14348540725
125000,2.79872317859
175000,3.35546199461
225000,-0.0
