downstream,best_logP
-225000,-0.0
-175000,2.1313389774
-125000,6.23875408247
-75000,3.95056668236
-50000,3.65044242604
-25000,6.25699715498
-14000,0.0361678004865
-13000,4.57883823203
-8000,0.538758064528
-5000,4.74553224006
-2000,6.30106647411
-1000,9.51900269538
0,11.2057666625
1000,15.964484815
2000,15.460674862
3000,18.1488075151
4000,17.9333792284
5000,15.3748491761
6000,15.6546963466
7000,14.3076261275
8000,12.5354339386
9000,14.086722249
10000,14.0279478723
11000,13.0116823004
13000,13.9031656327
16000,13.3849645562
22000,13.4722794276
23000,12.9773544992
25000,12.0803233681
28000,10.2487389588
34000,9.06732267067
35000,8.42340792077
47000,7.93443206075
50000,11.0971953623
59000,8.23363433405
71000,5.44616316043
75000,7.89862759552
100000,9.57315775675
125000,8.32823272876
175000,5.5389133372
225000,6.96819069352
