upstream,best_logP
-225000,6.25699715498
-175000,7.42101126743
-150000,6.78823990644
-125000,7.89862759552
-100000,9.57315775675
-75000,8.79594537846
-50000,11.2057666625
-38000,8.28954986845
-27000,10.3202491145
-26000,1.68203366519
-25000,10.9824509443
-21000,10.6177428522
-18000,12.1820091563
-15000,12.7991331592
-14000,13.8980848689
-13000,14.086722249
-12000,12.8917445293
-11000,14.3721843577
-10000,15.2919448365
-9000,14.6606423899
-8000,14.6293134663
-7000,13.9311281724
-6000,16.3714009852
-5000,14.760085368
-4000,18.1488075151
-3000,15.460674862
-2000,15.2599143802
-1000,17.9333792284
0,15.6546963466
3000,7.35745023446
9000,5.50325433453
10000,8.46636510933
15000,2.31580137007
21000,0.423628931841
22000,3.94927813172
25000,4.71633019002
34000,5.21049165598
46000,5.44616316043
75000,5.34967812635
125000,3.70617510517
175000,2.67469162502
225000,-0.0
