downstream,best_logP
-225000,0.796524701836
-175000,3.11432476091
-125000,4.56340539706
-75000,5.3615884666
-50000,5.61787682217
-25000,9.08860784277
-13000,10.552399693
-7000,13.3183071326
-4000,14.0704452635
-1000,16.4623646218
0,18.6675985311
1000,21.0927252101
2000,20.8803467068
3000,21.7615378684
4000,21.6592787891
5000,21.1952258878
6000,21.3210373702
7000,21.1480020602
8000,20.3250502525
9000,19.9300015033
10000,19.3121179664
11000,19.4371051842
12000,19.5354155371
14000,18.9500412195
17000,18.0671502991
23000,17.8380039734
24000,17.0171333505
25000,16.0800377585
29000,17.1165237473
35000,16.9509558655
36000,16.1361239274
48000,17.4516472232
50000,16.4817658717
60000,16.0646185075
72000,16.1288611648
75000,15.452664916
84000,15.4212483779
96000,15.6447324544
100000,15.5939837911
125000,15.5074234943
175000,12.5756317367
225000,10.5500974817
