upstream,best_logP
-225000,9.31862955133
-175000,10.1027505257
-125000,11.1492669919
-100000,12.2963012373
-75000,12.7582371032
-50000,15.1949878554
-38000,15.4500219717
-27000,17.9132211625
-26000,16.68877309
-25000,15.6971027261
-21000,17.6333143012
-18000,18.3689685995
-15000,18.9766055285
-14000,19.3171314421
-13000,19.3927001825
-12000,19.6334084301
-11000,20.5371008232
-10000,21.1332028993
-9000,21.4202477286
-8000,21.7615378684
-7000,21.3472868501
-6000,21.5261475379
-5000,21.2960928136
-4000,20.6322390497
-3000,20.2927493651
-2000,19.5354155371
0,20.3250502525
3000,18.7473597259
9000,15.3211587726
10000,15.5216207676
15000,12.6758140156
21000,14.9715491282
22000,11.9635219066
25000,9.90093570109
34000,12.6757415711
46000,9.9256552012
50000,7.3968368485
75000,7.10301212349
125000,3.26141929227
175000,3.66904755595
225000,-0.0
