downstream,best_logP
-225000,0.796524701836
-175000,3.0463570196
-125000,4.96237909169
-75000,5.38319293037
-50000,5.65530155629
-25000,9.1948332827
-13000,10.3027509464
-7000,13.0539013505
-4000,13.768356076
-1000,16.4453661947
0,18.8033911353
1000,21.411185858
2000,21.197123382
3000,22.0624207224
4000,21.9761339625
5000,21.8291110944
6000,21.6676398696
7000,20.9903230138
8000,20.752701419
9000,20.6246706137
10000,20.4003648889
11000,20.5640824875
12000,20.4128087716
14000,20.1300645135
17000,18.3995405818
23000,18.404143252
24000,17.391211634
25000,16.6032395747
29000,18.3588869321
35000,18.6829115854
36000,16.8090362091
48000,17.7060847345
50000,16.6553687288
60000,16.6743403839
72000,16.9806578669
75000,15.7081510871
84000,16.6293637155
96000,16.4027536401
100000,15.3657120385
125000,15.4365297985
175000,13.1058958822
225000,11.4094350442
