upstream,best_logP
-225000,10.4067100276
-175000,11.400355819
-125000,11.5362525815
-100000,12.6067651266
-75000,13.3312375177
-50000,15.5364147472
-38000,15.977175535
-27000,17.926967853
-26000,17.1695294782
-25000,15.8168742627
-21000,18.0788767539
-18000,18.9089340649
-15000,19.5484025719
-14000,20.1987898325
-13000,20.2794095217
-12000,20.4956674387
-11000,21.3232914585
-10000,21.9761339625
-9000,21.9399526215
-8000,22.0624207224
-7000,21.7890607759
-6000,21.9257467618
-5000,21.8717468789
-4000,21.012492623
-3000,20.1808841029
-2000,20.4128087716
0,20.752701419
3000,18.9885618963
9000,14.6976847674
10000,15.6901077241
15000,14.1837820207
21000,16.4218322338
22000,12.3981147149
25000,9.39562115004
34000,12.6353182381
46000,10.1950203714
50000,7.22226249988
75000,7.07229321549
125000,3.32917425838
175000,3.92131571541
225000,-0.0
