downstream,best_logP
-225000,-0.0
-175000,2.14041931031
-125000,1.54956114159
-75000,2.49326262746
-25000,3.94798959063
-14000,5.58405373657
-13000,5.40621924229
-8000,4.2922653011
-2000,10.0379299253
-1000,10.7215950956
0,12.4417840433
1000,13.1939226265
2000,13.4448063507
3000,12.2247087621
4000,12.1843792902
5000,13.2731417434
6000,12.5210023089
7000,12.7286924457
8000,13.2756213578
9000,12.4417848565
10000,12.8746581382
11000,12.1251988737
12000,12.3676097146
13000,11.9157496765
16000,11.9861354354
19000,11.2579896666
22000,11.2716339882
23000,11.9415323923
25000,11.5624893126
28000,11.7453912112
34000,10.459687688
35000,9.50445136401
47000,10.9667501592
50000,10.9510626826
59000,11.1581997666
71000,8.82388420854
75000,9.24659165616
100000,11.1242873872
125000,11.4566892528
150000,9.92276609993
175000,8.29148425837
200000,6.15125955241
225000,5.27075114294
