upstream,best_logP
-225000,5.65135848638
-175000,6.82298311993
-125000,8.45851731042
-100000,9.41325340857
-88000,8.13196572122
-77000,9.52524347826
-76000,9.18934869162
-75000,9.24659106645
-71000,10.4312838834
-65000,10.644207573
-64000,11.1581997666
-62000,12.0237639425
-61000,12.4010792268
-60000,12.1630568372
-59000,11.1876332176
-58000,11.1220270621
-57000,12.1843792902
-56000,12.7286924457
-55000,12.8746581382
-54000,13.2756213578
-53000,13.4448063507
-52000,12.4801602416
-51000,13.2731417434
-50000,12.4058644765
-49000,10.7548531073
-47000,10.6773375764
-44000,11.2193782123
-41000,9.89939170161
-40000,10.4575013256
-35000,10.459687688
-29000,10.2033698767
-28000,9.878168828
-25000,10.9510626826
-16000,9.02481870884
-4000,0.00889453527153
0,7.7767871156
25000,4.65258012141
50000,3.77367398021
75000,0.71059057475
125000,0.0585149271408
175000,0.000546235472619
225000,-0.0
