downstream,best_logP
-225000,0.796524701836
-175000,3.12043858343
-125000,5.11987164437
-75000,5.21289958538
-50000,5.81083872324
-25000,9.11381529329
-13000,10.0351462278
-7000,12.5382984148
-4000,14.6662193529
-1000,16.8000719857
0,19.1361315166
1000,21.4225967905
2000,22.0168098214
3000,22.7331973536
4000,22.5247495776
5000,22.5882757832
6000,22.3134343992
7000,22.4373734552
8000,21.9532984911
9000,22.3377638845
10000,22.3569876357
11000,22.3927969144
12000,20.965830688
14000,21.1291145077
17000,20.287238289
23000,19.8287277838
24000,18.909029092
25000,17.2170579638
29000,19.4392749779
35000,19.3849027745
36000,18.1515394045
48000,19.2367944089
50000,17.5805238532
60000,17.9991400493
72000,18.3187571939
75000,16.5891388121
84000,17.5677362049
96000,17.4044713889
100000,16.5515607993
125000,16.2678035806
175000,13.8593220611
225000,12.3181512934
