upstream,best_logP
-225000,10.7128194361
-175000,11.8574310629
-125000,12.7431458189
-100000,13.7296442054
-75000,14.8293798612
-50000,17.536007777
-38000,17.8842912307
-27000,19.4786195536
-26000,18.637712116
-25000,17.2502402246
-21000,19.2702889094
-18000,19.4001215306
-15000,20.0283162489
-14000,18.784904419
-12000,20.5955985133
-11000,21.1643048028
-10000,21.740824756
-9000,22.2924238025
-8000,22.7331973536
-7000,22.4235164834
-6000,22.3752730755
-5000,22.0404468614
-4000,21.3094241936
-3000,21.3616144581
-2000,22.5184734942
-1000,21.6030358907
0,21.5829478093
3000,20.3457337701
9000,16.1783966338
10000,15.6446660253
15000,14.4051448141
21000,15.0218791059
22000,12.7962087139
25000,10.4079260265
34000,13.4154841609
46000,11.1145136309
50000,8.24940004214
75000,7.48174845937
125000,3.3448152353
175000,3.65955974433
225000,-0.0
