downstream,best_logP
-225000,0.796524701836
-175000,3.01624401092
-125000,5.33851814221
-75000,5.21594810068
-50000,5.83516253754
-25000,9.25316568126
-13000,9.72127655781
-7000,10.8228139335
-1000,16.799757071
0,16.4147248957
2000,22.9507733877
5000,24.132467887
6000,24.2991984963
7000,24.9904523267
8000,24.7954565578
9000,24.98193668
10000,25.1519143214
11000,25.2159529065
12000,25.2246692079
13000,24.9705398566
14000,24.4940889319
15000,24.1250366751
16000,23.9830279743
17000,23.6014803639
20000,22.9070327211
23000,22.7195932328
24000,20.3799370277
25000,18.3192764884
29000,21.4232684203
35000,20.4716501514
36000,19.2539375339
48000,19.5391563819
50000,18.3376421982
60000,19.130859612
72000,18.9255609421
75000,17.1222038199
84000,18.2653946675
96000,17.8054901618
100000,17.1247353068
125000,16.6454376068
175000,14.3328177046
225000,12.8436755988
