upstream,best_logP
-225000,10.8071728556
-175000,12.0216094033
-125000,13.5349737573
-100000,14.2993723454
-75000,15.6541264475
-50000,17.5196264573
-38000,18.1156164866
-27000,19.7749795383
-26000,19.2857576422
-25000,17.9354997643
-21000,19.7301998749
-15000,20.3659378139
-14000,19.6321997417
-12000,21.1061262177
-9000,23.0491875654
-8000,23.5962005563
-7000,23.6250593379
-6000,23.9579756748
-5000,23.8299740944
-4000,23.8131770779
-3000,24.2319552177
-2000,25.2246692079
-1000,24.4265137616
0,24.1969114041
1000,23.8149852681
2000,25.0085310687
3000,21.9281946744
6000,19.1126934382
9000,17.4564568164
10000,15.9878516134
15000,15.7559113578
21000,15.4068440309
22000,13.0695277252
25000,10.8280714729
34000,13.6270288263
46000,11.3761753017
50000,8.79609898551
75000,7.78328835572
125000,3.47459481819
175000,3.88269305827
225000,-0.0
