upstream,downstream,height,logP
25000,125000,191,-0.552044948065
25000,125000,171,-0.303418091442
25000,125000,151,-0.486941304766
25000,125000,131,-0.486941304766
25000,125000,111,-0.61248581054
25000,125000,91,-1.37126437368
25000,125000,71,-0.318655608288
25000,125000,51,-0.598209802509
25000,125000,31,-0.334625797407
25000,125000,11,-0.899499935708
75000,125000,191,-0.301029995664
75000,125000,171,-0.546549740198
75000,125000,151,-0.300236867449
75000,125000,131,-0.300236867449
75000,125000,111,-0.680996533905
75000,125000,91,-1.31926076201
75000,125000,71,-0.827518136426
75000,125000,51,-0.394723338186
75000,125000,31,-0.473873137611
75000,125000,11,-0.662492056466
125000,125000,191,0.0
125000,125000,171,0.0
125000,125000,151,0.0
125000,125000,131,0.0
125000,125000,111,0.0
125000,125000,91,0.0
125000,125000,71,0.0
125000,125000,51,0.0
125000,125000,31,-0.796524701836
125000,125000,11,-0.796524701836
175000,125000,191,0.0
175000,125000,171,0.0
175000,125000,151,0.0
175000,125000,131,0.0
175000,125000,111,0.0
175000,125000,91,0.0
175000,125000,71,0.0
175000,125000,51,0.0
175000,125000,31,0.0
175000,125000,11,0.0
225000,125000,191,0.0
225000,125000,171,0.0
225000,125000,151,0.0
225000,125000,131,0.0
225000,125000,111,0.0
225000,125000,91,0.0
225000,125000,71,0.0
225000,125000,51,0.0
225000,125000,31,0.0
225000,125000,11,0.0
-225000,175000,191,-0.407332788974
-225000,175000,171,-0.232300790206
-225000,175000,151,-0.472817972768
-225000,175000,131,-0.806028060692
-225000,175000,111,-0.715514896181
-225000,175000,91,-0.853129191532
-225000,175000,71,-0.379247243002
-225000,175000,51,-0.398926594201
-225000,175000,31,-0.643510463775
-225000,175000,11,-0.831394533747
-175000,175000,191,-0.702513298203
-175000,175000,171,-0.411430947738
-175000,175000,151,-0.311030877215
-175000,175000,131,-0.180765622963
-175000,175000,111,-0.153012631061
-175000,175000,91,-0.663504662515
-175000,175000,71,-0.361067471367
-175000,175000,51,-0.554510083377
-175000,175000,31,-0.860493766742
-175000,175000,11,-1.20438890551
-125000,175000,191,-0.556599232505
-125000,175000,171,-0.30882517882
-125000,175000,151,-0.230999653001
-125000,175000,131,-0.234318949758
-125000,175000,111,-0.191816709708
-125000,175000,91,-0.581561825476
-125000,175000,71,-0.47471250952
-125000,175000,51,-0.528810927803
-125000,175000,31,-1.01040313968
-125000,175000,11,-1.26865207455
-75000,175000,191,-0.581895071848
-75000,175000,171,-0.306148035632
-75000,175000,151,-0.305343616416
-75000,175000,131,-0.305479469249
-75000,175000,111,-0.238954412347
-75000,175000,91,-0.503768779093
-75000,175000,71,-0.685386200526
-75000,175000,51,-0.79342865152
-75000,175000,31,-1.55159056357
-75000,175000,11,-1.75649078886
-25000,175000,191,-1.11753506187
-25000,175000,171,-0.814894745776
-25000,175000,151,-0.755991068893
-25000,175000,131,-0.925453288057
-25000,175000,111,-0.613670180849
-25000,175000,91,-0.464228863045
-25000,175000,71,-1.67727831132
-25000,175000,51,-2.03405216374
-25000,175000,31,-2.40691308747
-25000,175000,11,-2.94934108572
25000,175000,191,-0.552044948065
25000,175000,171,-0.303418091442
25000,175000,151,-0.303636440757
25000,175000,131,-0.454548745158
25000,175000,111,-0.542712936441
25000,175000,91,-1.09581619074
25000,175000,71,-0.402598828022
25000,175000,51,-0.745197734133
25000,175000,31,-0.591306607334
25000,175000,11,-1.03098634084
75000,175000,191,-0.301029995664
75000,175000,171,-0.546549740198
75000,175000,151,-0.483011622622
75000,175000,131,-0.299732606664
75000,175000,111,-0.578749839461
75000,175000,91,-1.00947656883
75000,175000,71,-0.485678453037
75000,175000,51,-0.482256806201
75000,175000,31,-0.642422340042
75000,175000,11,-1.08250264958
125000,175000,191,-0.796524701836
125000,175000,171,-0.796524701836
125000,175000,151,-0.301029995664
125000,175000,131,-0.549292834687
125000,175000,111,-0.484973821624
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
175000,-125000,11,0.0
225000,-125000,191,0.0
225000,-125000,171,0.0
225000,-125000,151,0.0
225000,-125000,131,0.0
225000,-125000,111,0.0
225000,-125000,91,0.0
225000,-125000,71,0.0
225000,-125000,51,0.0
225000,-125000,31,0.0
225000,-125000,11,0.0
-225000,-75000,191,-0.306134981236
-225000,-75000,171,-0.306134981236
-225000,-75000,151,-0.204701677514
-225000,-75000,131,-1.065795538
