downstream,best_logP
-225000,-0.0
-175000,0.386158163747
-125000,1.18160789916
-75000,1.63703026966
-25000,1.14153223276
0,3.26371441553
12000,2.77926074066
23000,6.4748837065
24000,3.05068462812
25000,2.99411935208
26000,4.1744318881
29000,5.56025140675
30000,6.49884005028
31000,7.37779905673
32000,8.73770482235
33000,8.5291956648
34000,10.3596635388
35000,8.48213849117
36000,7.99506283828
37000,8.05577159686
38000,6.98582740626
39000,5.95567401944
40000,5.23757470067
41000,5.07035760419
44000,4.96515280207
47000,5.73256096256
48000,4.38323839694
50000,5.85352255027
53000,4.34034666203
59000,4.02190105877
60000,3.34828814071
65000,4.30112470658
71000,4.87134771906
72000,3.97839807744
75000,3.24288925218
84000,4.379896657
96000,3.8934457141
100000,3.97445585774
125000,3.72298508593
150000,2.88068154487
175000,2.96772216207
200000,2.72249681241
225000,3.10104776553
