upstream,best_logP
-225000,1.24264439526
-175000,1.63714809793
-125000,1.5366142549
-100000,2.02983014551
-75000,3.14053855603
-63000,3.32591843101
-51000,3.61637660992
-50000,3.34736255801
-39000,4.69557706943
-28000,5.96835941059
-27000,5.47494166169
-25000,4.54347246087
-22000,6.00669770158
-16000,5.77597279414
-15000,5.26432433813
-10000,7.17745860009
-7000,7.67318129633
-6000,7.57039528907
-5000,8.3444241835
-4000,8.29604354287
-3000,8.07167494071
-2000,9.02999416669
-1000,10.6382191599
0,9.34075942074
1000,9.62907959241
2000,8.81123444171
3000,7.40685078511
4000,6.50595815903
5000,4.97388261816
8000,2.90885487593
9000,3.77311373639
11000,3.05097835994
14000,2.80035119889
20000,2.47370908847
21000,1.77058772367
25000,1.5910651709
50000,1.12436959993
75000,1.33155151741
125000,1.23393780709
175000,1.39182927975
225000,-0.0
