downstream,best_logP
-225000,-0.0
-175000,0.80476046424
-125000,1.58366224679
-75000,1.51452280213
-25000,0.95265455848
25000,2.15688016726
75000,2.20092693526
125000,2.22562668398
150000,1.45879774502
175000,1.79096877709
187000,2.06887372884
199000,2.15000842825
200000,2.15089849169
210000,2.9469405677
211000,2.57799787722
216000,2.9050460188
222000,2.87480751888
223000,3.15133370674
225000,3.19241274628
228000,3.8007423489
234000,3.72797569353
235000,3.9319048459
237000,3.90112049044
240000,3.98092291183
241000,4.05181784727
242000,2.88122264542
243000,3.27412567239
244000,4.0917951214
245000,3.77933328897
246000,4.04463159218
247000,4.20770248993
248000,3.93962203052
249000,4.1082443561
