upstream,best_logP
-225000,1.51452280213
-175000,1.81527030133
-125000,0.339785947097
-75000,2.15688016726
-50000,2.25395393888
-38000,2.41751118406
-33000,3.28980966194
-30000,3.26775206594
-27000,3.62584984119
-26000,2.93545455925
-25000,3.05790924814
-24000,3.0123471125
-23000,3.53010670479
-22000,4.04463159218
-21000,4.01725936522
-20000,4.1082443561
-19000,4.01400789041
-18000,4.20770248993
-17000,4.09508315733
-16000,3.98092291183
-15000,3.93962203052
-14000,4.0917951214
-12000,3.48068227891
-9000,3.90112049044
-3000,3.72797569353
-2000,3.9319048459
0,3.19241274628
3000,3.53259710491
9000,3.30679722988
10000,2.79309617056
15000,2.71633020968
21000,2.40196836791
22000,2.1350401936
25000,2.25826025619
34000,2.2074942313
46000,1.82437395849
50000,2.18715288978
75000,2.25489082451
100000,2.77397171401
125000,1.93040169338
175000,0.295570958594
225000,-0.0
