upstream,best_logP
-225000,1.44866950223
-175000,1.87945807447
-125000,1.83762144014
-100000,2.10838308139
-75000,2.80951323689
-63000,2.85135945512
-51000,2.96430655911
-50000,3.07045360079
-39000,4.18251992574
-28000,5.11502026161
-27000,4.57649978888
-25000,4.4728651162
-22000,5.90355577391
-19000,6.12965264355
-16000,5.76239081003
-15000,4.50909932705
-13000,5.98489875188
-12000,6.20276632291
-11000,6.26504264339
-10000,6.48284306967
-9000,6.52826786014
-8000,6.65109963271
-7000,6.76930054825
-6000,6.08952294217
-5000,6.08231486467
-4000,6.04873854557
-3000,6.44828423745
-2000,5.75367384625
-1000,5.70576483272
0,3.85327214385
2000,4.00933755901
8000,1.77564221794
9000,1.90856110731
14000,1.59216963309
20000,1.58112657876
21000,1.79995895698
25000,1.58587704241
50000,1.54575314587
75000,1.31926076201
125000,1.11985267507
175000,1.3884510998
225000,-0.0
