downstream,best_logP
-225000,0.796524701836
-175000,1.04323835814
-125000,1.52213192029
-75000,1.21850267348
-50000,2.44123697122
-25000,2.58665539181
-14000,2.73774528587
-13000,2.761515077
-8000,3.7262677962
-5000,3.7810485255
-2000,5.96919662065
-1000,5.44066083733
0,5.89376483659
1000,6.45358289247
2000,6.62480287021
3000,6.51914129916
4000,6.71224203576
5000,6.73479924473
6000,6.51621852759
7000,6.49994778986
8000,6.04679390221
9000,5.69952322402
10000,5.28805192273
11000,5.02041591134
13000,5.36366503292
16000,5.23965951016
22000,5.00069997326
23000,4.88932425937
25000,4.46114367892
28000,5.17872426064
34000,4.94998091272
35000,4.24591081225
47000,4.48147456813
50000,3.68224000938
59000,4.38727720589
71000,3.6314140626
75000,3.3437987966
100000,2.45218659936
125000,2.48775415462
175000,2.65527870181
225000,2.8548320082
