upstream,best_logP
-225000,1.65066219258
-175000,2.03870462309
-125000,1.97220235929
-100000,2.22662038038
-75000,2.96643045941
-63000,3.0019332548
-51000,3.08115720236
-50000,3.12236591004
-39000,4.20645887859
-28000,5.09362672597
-27000,4.55284525597
-25000,4.46114367892
-22000,5.88965938975
-19000,6.11425565205
-16000,5.75110791062
-15000,4.54289024415
-13000,5.99152844823
-12000,6.20165548628
-11000,6.26621015595
-10000,6.48637884998
-9000,6.49065218896
-8000,6.63004748953
-7000,6.73479924473
-6000,6.06671887087
-5000,6.07031810237
-4000,6.0427605567
-3000,6.44455694384
-2000,5.74585537307
-1000,5.69070330728
0,3.79370120712
2000,4.00018480514
8000,1.77481869728
9000,1.99236939742
14000,1.58991070471
20000,1.59106168178
21000,1.79996050791
25000,1.58069902197
50000,1.53995988339
75000,1.32203798719
125000,1.17037432541
175000,1.42805247444
225000,-0.0
