upstream,downstream,height,logP
25000,125000,35,-0.000532094018754
25000,125000,55,-6.07939394225e-06
25000,125000,75,0.0
25000,125000,95,0.0
75000,125000,15,-5.43000546899
75000,125000,35,-1.11763130975e-08
75000,125000,55,0.0
75000,125000,75,0.0
75000,125000,95,0.0
125000,125000,15,0.0
125000,125000,35,0.0
125000,125000,55,0.0
125000,125000,75,0.0
125000,125000,95,0.0
175000,125000,15,0.0
175000,125000,35,0.0
175000,125000,55,0.0
175000,125000,75,0.0
175000,125000,95,0.0
225000,125000,15,0.0
225000,125000,35,0.0
225000,125000,55,0.0
225000,125000,75,0.0
225000,125000,95,0.0
-225000,175000,15,-0.568743177093
-225000,175000,35,-0.129077331045
-225000,175000,55,-2.78505312919
-225000,175000,75,-7.04568207495e-09
-225000,175000,95,0.0
-175000,175000,15,-0.499070006537
-175000,175000,35,-0.125416037718
-175000,175000,55,-0.0020311510888
-175000,175000,75,-0.000185038665991
-175000,175000,95,-1.04629530121e-14
-125000,175000,15,-0.440700632182
-125000,175000,35,-0.131225469716
-125000,175000,55,-8.41419326218e-06
-125000,175000,75,-9.64327466553e-17
-125000,175000,95,-1.07613157961e-06
-75000,175000,15,-0.0962592490417
-75000,175000,35,-0.00266791365472
-75000,175000,55,-0.011705477252
-75000,175000,75,-2.40231183862e-06
-75000,175000,95,-9.41038958237e-13
-25000,175000,15,-0.0179793223491
-25000,175000,35,-2.94247731572e-05
-25000,175000,55,-1.91763267021e-11
-25000,175000,75,-2.44019542376e-07
-25000,175000,95,-1.35005845317e-15
25000,175000,15,-3.37474224471
25000,175000,35,-0.00349453812587
25000,175000,55,-0.00304366989201
25000,175000,75,0.0
25000,175000,95,0.0
75000,175000,15,-0.00038368381216
75000,175000,35,-1.84258289762
75000,175000,55,-0.13180277925
75000,175000,75,-6.75029226587e-16
75000,175000,95,0.0
125000,175000,15,-0.000610066512271
125000,175000,35,-0.850751034437
125000,175000,55,-6.2681285326e-16
125000,-75000,95,0.0
175000,-75000,15,0.0
175000,-75000,35,0.0
175000,-75000,55,0.0
175000,-75000,75,0.0
175000,-75000,95,0.0
225000,-75000,15,0.0
225000,-75000,35,0.0
225000,-75000,55,0.0
225000,-75000,75,0.0
225000,-75000,95,0.0
-225000,-25000,15,-0.394283004313
-225000,-25000,35,-0.0461132200873
-225000,-25000,55,-3.77367504528
-225000,-25000,75,-4.0565881372e-12
-225000,-25000,95,0.0
-175000,-25000,15,-0.211182065538
-175000,-25000,35,-0.0127594993068
-175000,-25000,55,-2.58965456079
-175000,-25000,75,-1.1649075796e-13
-175000,-25000,95,0.0
-125000,-25000,15,-0.12555541354
-125000,-25000,35,-0.0022394146339
-125000,-25000,55,-0.614042913705
-125000,-25000,75,0.0
-125000,-25000,95,0.0
-75000,-25000,15,-0.0278186148455
-75000,-25000,35,-5.27294258712e-13
-75000,-25000,55,-2.86243301933e-08
-75000,-25000,75,0.0
-75000,-25000,95,0.0
-25000,-25000,15,0.0
-25000,-25000,35,0.0
-25000,-25000,55,0.0
-25000,-25000,75,0.0
-25000,-25000,95,0.0
25000,-25000,15,0.0
25000,-25000,35,0.0
25000,-25000,55,0.0
25000,-25000,75,0.0
25000,-25000,95,0.0
75000,-25000,15,0.0
75000,-25000,35,0.0
75000,-25000,55,0.0
75000,-25000,75,0.0
75000,-25000,95,0.0
125000,-25000,15,0.0
125000,-25000,35,0.0
125000,-25000,55,0.0
125000,-25000,75,0.0
125000,-25000,95,0.0
175000,-25000,15,0.0
175000,-25000,35,0.0
175000,-25000,55,0.0
175000,-25000,75,0.0
175000,-25000,95,0.0
225000,-25000,15,0.0
225000,-25000,35,0.0
225000,-25000,55,0.0
225000,-25000,75,0.0
225000,-25000,95,0.0
-225000,25000,15,-0.161453651038
-225000,25000,35,-0.0333499814757
125000,175000,75,0.0
125000,175000,95,0.0
175000,175000,15,0.0
175000,175000,35,0.0
175000,175000,55,0.0
175000,175000,75,0.0
175000,175000,95,0.0
225000,175000,15,0.0
225000,175000,35,0.0
225000,175000,55,0.0
225000,175000,75,0.0
225000,175000,95,0.0
-225000,225000,15,-0.24178917932
-225000,225000,35,-0.149377275907
-225000,225000,55,-1.6504693735e-05
-225000,225000,75,-0.000257381804399
-225000,225000,95,0.0
-175000,225000,15,-0.239329637307
-175000,225000,35,-0.10073088893
-175000,225000,55,-0.00578195887721
-175000,225000,75,-1.24380219719
-175000,225000,95,0.0
-125000,225000,15,-0.18790936759
-125000,225000,35,-0.104444406991
-125000,225000,55,-0.0252699038687
-125000,225000,75,-0.00145243805644
-125000,225000,95,0.0
-75000,225000,15,-0.0413974021787
