upstream,downstream,height,logP
-225000,-225000,191,0.0
-225000,-225000,171,0.0
-225000,-225000,151,0.0
-225000,-225000,131,0.0
-225000,-225000,111,0.0
-225000,-225000,91,0.0
-225000,-225000,71,0.0
-225000,-225000,51,0.0
-225000,-225000,31,0.0
-225000,-225000,11,0.0
-175000,-225000,191,0.0
-175000,-225000,171,0.0
-175000,-225000,151,0.0
-175000,-225000,131,0.0
-175000,-225000,111,0.0
-175000,-225000,91,0.0
-175000,-225000,71,0.0
-175000,-225000,51,0.0
-175000,-225000,31,0.0
-175000,-225000,11,0.0
-125000,-225000,191,0.0
-125000,-225000,171,0.0
-125000,-225000,151,0.0
-125000,-225000,131,0.0
-125000,-225000,111,0.0
-125000,-225000,91,0.0
-125000,-225000,71,0.0
-125000,-225000,51,0.0
-125000,-225000,31,0.0
-125000,-225000,11,0.0
-75000,-225000,191,0.0
-75000,-225000,171,0.0
-75000,-225000,151,0.0
-75000,-225000,131,0.0
-75000,-225000,111,0.0
-75000,-225000,91,0.0
-75000,-225000,71,0.0
-75000,-225000,51,0.0
-75000,-225000,31,0.0
-75000,-225000,11,0.0
-25000,-225000,191,0.0
-25000,-225000,171,0.0
-25000,-225000,151,0.0
-25000,-225000,131,0.0
-25000,-225000,111,0.0
-25000,-225000,91,0.0
-25000,-225000,71,0.0
-25000,-225000,51,0.0
-25000,-225000,31,0.0
-25000,-225000,11,0.0
25000,-225000,191,0.0
25000,-225000,171,0.0
25000,-225000,151,0.0
25000,-225000,131,0.0
25000,-225000,111,0.0
25000,-225000,91,0.0
25000,-225000,71,0.0
25000,-225000,51,0.0
25000,-225000,31,0.0
25000,-225000,11,0.0
75000,-225000,191,0.0
75000,-225000,171,0.0
75000,-225000,151,0.0
75000,-225000,131,0.0
75000,-225000,111,0.0
75000,-225000,91,0.0
75000,-225000,71,0.0
75000,-225000,51,0.0
75000,-225000,31,0.0
75000,-225000,11,0.0
125000,-225000,191,0.0
125000,-225000,171,0.0
125000,-225000,151,0.0
125000,-225000,131,0.0
125000,-225000,111,0.0
125000,-225000,91,0.0
125000,-225000,71,0.0
125000,-225000,51,0.0
125000,-225000,31,0.0
125000,-225000,11,0.0
175000,-225000,191,0.0
175000,-225000,171,0.0
175000,-225000,151,0.0
175000,-225000,131,0.0
175000,-225000,111,0.0
175000,-225000,91,0.0
175000,-225000,71,0.0
175000,-225000,51,0.0
175000,-225000,31,0.0
175000,-225000,11,0.0
225000,-225000,191,0.0
225000,-225000,171,0.0
225000,-225000,151,0.0
225000,-225000,131,0.0
225000,-225000,111,0.0
225000,-225000,91,0.0
225000,-225000,71,0.0
225000,-225000,51,0.0
225000,-225000,31,0.0
225000,-225000,11,0.0
-225000,-175000,191,0.0
-225000,-175000,171,0.0
-225000,-175000,151,-0.796524701836
-225000,-175000,131,-0.488914077086
-225000,-175000,111,-0.438615832607
-225000,-175000,91,-1.45073032667
-225000,-175000,71,-1.34950427622
-225000,-175000,51,-2.17955789847
-225000,-175000,31,-1.82279473613
-225000,-175000,11,-3.82959573724
-175000,-175000,191,0.0
-175000,-175000,171,0.0
-175000,-175000,151,0.0
-175000,-175000,131,0.0
-175000,-175000,111,0.0
-175000,-175000,91,0.0
-175000,-175000,71,0.0
-175000,-175000,51,0.0
-175000,-175000,31,0.0
-175000,-175000,11,0.0
-125000,-175000,191,0.0
-125000,-175000,171,0.0
-125000,-175000,151,0.0
-125000,-175000,131,0.0
-125000,-175000,111,0.0
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
