upstream,best_logP
-225000,4.43391432558
-175000,4.49668922291
-125000,4.57811232254
-75000,6.83690497665
-50000,7.00166124185
-26000,7.53708355543
-25000,9.31224306569
-20000,8.60268803403
-14000,10.8962476483
-13000,9.61283391219
-11000,11.666488111
-8000,13.1161847802
-5000,13.7271814585
-4000,14.1225605108
-3000,14.4109863548
-2000,15.1082553113
-1000,15.3507597938
0,17.7553620233
1000,18.5098496395
2000,15.9412898049
3000,15.3761933777
4000,11.4280654664
5000,14.6660206188
6000,8.50157341869
7000,8.56051912813
10000,9.19553259009
11000,10.6133375154
16000,7.14275527411
22000,6.4166385353
23000,10.8460376872
25000,10.3387184608
35000,8.03477269688
47000,9.81253302584
50000,7.01224999944
59000,9.79774269116
71000,7.86104035505
75000,6.04568454095
100000,2.10558375602
125000,4.03484022403
175000,0.00126542298565
225000,-0.0
