downstream,best_logP
-225000,-0.0
-175000,3.3638490109
-125000,4.48003349348
-75000,5.42040496428
-50000,6.20690545429
-25000,11.9869730314
-14000,13.452790562
-13000,12.747863145
-8000,13.6128016141
-5000,12.8173028247
-2000,16.7083756385
-1000,17.1069280495
0,18.9063109012
1000,20.2263517947
2000,20.7436723989
3000,21.8046916512
4000,25.9179042214
5000,27.0793435167
6000,26.2299048694
7000,25.5836887748
8000,24.6130694648
9000,23.2264551648
10000,23.7489102988
11000,19.6853096926
13000,22.581980784
16000,20.7010348344
22000,17.1733116122
23000,16.8487225111
25000,15.5230763281
28000,16.49642616
34000,15.177555455
35000,14.3786129858
47000,13.9317504335
50000,12.266183382
59000,11.6089250266
71000,11.6737160139
75000,10.9044741203
100000,10.5697882758
125000,9.79528780768
175000,7.86042773126
225000,6.73121648947
