downstream,best_logP
-225000,-0.0
-175000,3.837810329
-125000,5.23816101958
-75000,6.27302002142
-50000,6.51348781094
-25000,11.6966023731
-14000,15.5096377332
-13000,14.3336658886
-8000,15.6955069906
-2000,18.4799143082
-1000,17.8166237371
0,16.8453563123
1000,21.3645817677
2000,22.6097532768
3000,23.3017124808
4000,27.2195520939
5000,28.5955423362
6000,28.4849847343
7000,28.1250020591
8000,26.8665040567
9000,24.9339766688
10000,25.2811781136
11000,25.2173775812
12000,25.6155920101
13000,25.3813255514
16000,24.1802757465
19000,23.1015889643
22000,22.4478263738
23000,20.325358211
25000,17.8317352592
28000,20.51040526
34000,19.8684139182
35000,18.0703959815
47000,17.7108992728
50000,15.5038863057
59000,16.2004622399
71000,16.1454150095
75000,14.2474483102
100000,13.6099064626
125000,12.7051277877
175000,10.8632356609
225000,9.19559999909
