upstream,downstream,height,logP
-225000,-225000,15,0.0
-225000,-225000,35,0.0
-225000,-225000,55,0.0
-225000,-225000,75,0.0
-225000,-225000,95,0.0
-175000,-225000,15,0.0
-175000,-225000,35,0.0
-175000,-225000,55,0.0
-175000,-225000,75,0.0
-175000,-225000,95,0.0
-125000,-225000,15,0.0
-125000,-225000,35,0.0
-125000,-225000,55,0.0
-125000,-225000,75,0.0
-125000,-225000,95,0.0
-75000,-225000,15,0.0
-75000,-225000,35,0.0
-75000,-225000,55,0.0
-75000,-225000,75,0.0
-75000,-225000,95,0.0
-25000,-225000,15,0.0
-25000,-225000,35,0.0
-25000,-225000,55,0.0
-25000,-225000,75,0.0
-25000,-225000,95,0.0
25000,-225000,15,0.0
25000,-225000,35,0.0
25000,-225000,55,0.0
25000,-225000,75,0.0
25000,-225000,95,0.0
75000,-225000,15,0.0
75000,-225000,35,0.0
75000,-225000,55,0.0
75000,-225000,75,0.0
75000,-225000,95,0.0
125000,-225000,15,0.0
125000,-225000,35,0.0
125000,-225000,55,0.0
125000,-225000,75,0.0
125000,-225000,95,0.0
175000,-225000,15,0.0
175000,-225000,35,0.0
175000,-225000,55,0.0
175000,-225000,75,0.0
175000,-225000,95,0.0
225000,-225000,15,0.0
225000,-225000,35,0.0
225000,-225000,55,0.0
225000,-225000,75,0.0
225000,-225000,95,0.0
-225000,-175000,15,-0.760851295295
-225000,-175000,35,-8.82964238524e-05
-225000,-175000,55,-9.01404838516e-08
-225000,-175000,75,-9.96792709052e-10
-225000,-175000,95,-1.11668879559e-10
-175000,-175000,15,0.0
-175000,-175000,35,0.0
-175000,-175000,55,0.0
-175000,-175000,75,0.0
-175000,-175000,95,0.0
-125000,-175000,15,0.0
-125000,-175000,35,0.0
-125000,-175000,55,0.0
-125000,-175000,75,0.0
-125000,-175000,95,0.0
-75000,-175000,15,0.0
-75000,-175000,35,0.0
-75000,-175000,55,0.0
-75000,-175000,75,0.0
-75000,-175000,95,0.0
-25000,-175000,15,0.0
-25000,-175000,35,0.0
-25000,-175000,55,0.0
-25000,-175000,75,0.0
-25000,-175000,95,0.0
25000,-175000,15,0.0
25000,-175000,35,0.0
25000,-175000,55,0.0
25000,-175000,75,0.0
25000,-175000,95,0.0
75000,-175000,15,0.0
75000,-175000,35,0.0
75000,-175000,55,0.0
75000,-175000,75,0.0
75000,-175000,95,0.0
125000,-175000,15,0.0
125000,-175000,35,0.0
125000,-175000,55,0.0
125000,-175000,75,0.0
125000,-175000,95,0.0
175000,-175000,15,0.0
175000,-175000,35,0.0
175000,-175000,55,0.0
175000,-175000,75,0.0
175000,-175000,95,0.0
225000,-175000,15,0.0
225000,-175000,35,0.0
225000,-175000,55,0.0
225000,-175000,75,0.0
225000,-175000,95,0.0
-225000,-125000,15,-1.02402917044
-225000,-125000,35,-0.578840109119
-225000,-125000,55,-0.329374472872
-225000,-125000,75,-0.230969213611
-225000,-125000,95,-0.00672309780208
-175000,-125000,15,-1.06810677974
-175000,-125000,35,-0.0257476172468
-175000,-125000,55,-0.37327423324
-175000,-125000,75,-0.369045410038
-175000,-125000,95,-0.0319376370551
-125000,-125000,15,0.0
-125000,-125000,35,0.0
-125000,-125000,55,0.0
-125000,-125000,75,0.0
-125000,-125000,95,0.0
-75000,-125000,15,0.0
-75000,-125000,35,0.0
-75000,-125000,55,0.0
-75000,-125000,75,0.0
-75000,-125000,95,0.0
-25000,-125000,15,0.0
-25000,-125000,35,0.0
-25000,-125000,55,0.0
-25000,-125000,75,0.0
-25000,-125000,95,0.0
25000,-125000,15,0.0
125000,175000,75,-1.06708779384e-09
125000,175000,95,-1.18268013482e-11
175000,175000,15,0.0
175000,175000,35,0.0
175000,175000,55,0.0
175000,175000,75,0.0
175000,175000,95,0.0
225000,175000,15,0.0
225000,175000,35,0.0
225000,175000,55,0.0
225000,175000,75,0.0
225000,175000,95,0.0
-225000,225000,15,-1.03105149717
-225000,225000,35,-2.69022584065
-225000,225000,55,-2.61408162783
-225000,225000,75,-4.5195726232
-225000,225000,95,-5.44461360381
-175000,225000,15,-0.866969297584
-175000,225000,35,-3.52828985836
-175000,225000,55,-2.989710115
-175000,225000,75,-4.09902670071
-175000,225000,95,-5.78887917259
-125000,225000,15,-0.764248006483
-125000,225000,35,-3.35412931853
-125000,225000,55,-2.92184135751
-125000,225000,75,-3.98674897259
-125000,225000,95,-4.76910478408
-75000,225000,15,-0.50721999452
-75000,225000,35,-3.46808725871
-75000,225000,55,-3.7686517711
-75000,225000,75,-4.90027897663
-75000,225000,95,-6.79344563167
-25000,225000,15,-0.136192713422
-25000,225000,35,-4.47110624713
-25000,225000,55,-1.90154347846e-05
-25000,225000,75,-5.61843504421
-25000,225000,95,-7.58580397907
25000,225000,15,-0.0564468871534
25000,225000,35,-1.900995478
25000,225000,55,-0.104991967593
25000,225000,75,-0.0397713830177
25000,225000,95,-0.544396746719
75000,225000,15,-1.49492160662
75000,225000,35,-1.31202902984
75000,225000,55,-0.194936936789
75000,225000,75,-0.150490317585
75000,225000,95,-0.594410591604
125000,225000,15,-1.29780120159
125000,225000,35,-1.28702389258
125000,225000,55,-0.0715632872169
125000,225000,75,-0.012961596972
125000,225000,95,-0.379372382019
175000,225000,15,-2.6483968484
175000,225000,35,-0.00238003448491
175000,225000,55,-0.000118014912684
175000,225000,75,-4.59982957763e-07
175000,225000,95,-9.83832881147e-09
225000,225000,15,0.0
225000,225000,35,0.0
225000,225000,55,0.0
225000,225000,75,0.0
225000,225000,95,0.0
-225000,25000,55,-4.74053680286
-225000,25000,75,-5.16701823202
-225000,25000,95,-6.16442218711
-175000,25000,15,-0.15828714689
-175000,25000,35,-5.51409305669
-175000,25000,55,-5.31316690169
-175000,25000,75,-5.01133341235
-175000,25000,95,-7.41555176078
-125000,25000,15,-0.0206807171566
-125000,25000,35,-5.81755494118
-125000,25000,55,-6.9190190481
-125000,25000,75,-5.69069015202
-125000,25000,95,-7.27076227901
-75000,25000,15,-4.08850761927
-75000,25000,35,-6.64336541859
-75000,25000,55,-6.65708998876
-75000,25000,75,-6.96994809817
-75000,25000,95,-8.62338908869
-25000,25000,15,-3.97385421074e-09
-25000,25000,35,-13.9616644665
-25000,25000,55,-11.0971953623
-25000,25000,75,-9.15875960052
-25000,25000,95,-9.86120796016
25000,25000,15,0.0
25000,25000,35,0.0
25000,25000,55,0.0
25000,25000,75,0.0
25000,25000,95,0.0
75000,25000,15,0.0
75000,25000,35,0.0
75000,25000,55,0.0
75000,25000,75,0.0
75000,25000,95,0.0
125000,25000,15,0.0
125000,25000,35,0.0
125000,25000,55,0.0
125000,25000,75,0.0
125000,25000,95,0.0
175000,25000,15,0.0
175000,25000,35,0.0
175000,25000,55,0.0
175000,25000,75,0.0
175000,25000,95,0.0
225000,25000,15,0.0
225000,25000,35,0.0
225000,25000,55,0.0
225000,25000,75,0.0
225000,25000,95,0.0
-225000,75000,15,-0.307619359245
-225000,75000,35,-3.52949965445
-225000,75000,55,-3.51741021458
-225000,75000,75,-4.40373851582
-225000,75000,95,-5.83192408611
-175000,75000,15,-0.454408155656
-175000,75000,35,-4.38869275794
-175000,75000,55,-3.75360355083
-175000,75000,75,-5.23303647196
-175000,75000,95,-6.09875740816
-125000,75000,15,-0.214873727909
-125000,75000,35,-4.11483069736
-125000,75000,55,-3.65167615508
-125000,75000,75,-3.53191974851
25000,125000,35,-0.917329834948
25000,125000,55,-0.0110381857629
25000,125000,75,-0.11792680951
25000,125000,95,-0.0131893285068
75000,125000,15,-1.26430346491
75000,125000,35,-0.00127129716431
75000,125000,55,-0.000740417741313
75000,125000,75,-6.03548902574e-05
75000,125000,95,-9.48416063355e-14
125000,125000,15,0.0
125000,125000,35,0.0
125000,125000,55,0.0
125000,125000,75,0.0
125000,125000,95,0.0
175000,125000,15,0.0
175000,125000,35,0.0
175000,125000,55,0.0
175000,125000,75,0.0
175000,125000,95,0.0
225000,125000,15,0.0
225000,125000,35,0.0
225000,125000,55,0.0
225000,125000,75,0.0
225000,125000,95,0.0
-225000,175000,15,-1.37687213271
-225000,175000,35,-2.58762535885
-225000,175000,55,-2.70165143646
-225000,175000,75,-3.70368668448
-225000,175000,95,-4.94249386005
-175000,175000,15,-1.26164694056
-175000,175000,35,-3.19864249334
-175000,175000,55,-2.63658811503
-175000,175000,75,-3.53676430731
-175000,175000,95,-4.44078907045
-125000,175000,15,-1.20663754939
