upstream,downstream,height,logP
25000,125000,191,-0.337996521884
25000,125000,171,-0.384424309176
25000,125000,151,-0.337384900341
25000,125000,131,-0.487728331645
25000,125000,111,-0.378777521388
25000,125000,91,-0.360551929119
25000,125000,71,-0.303210016802
25000,125000,51,-0.35950648793
25000,125000,31,-0.823689157409
25000,125000,11,-1.50688019599
75000,125000,191,-0.751049610044
75000,125000,171,-0.702895555124
75000,125000,151,-0.649596353182
75000,125000,131,-0.982175986915
75000,125000,111,-0.924868646629
75000,125000,91,-0.872693305467
75000,125000,71,-0.392549711248
75000,125000,51,-0.561711659304
75000,125000,31,-0.922911335875
75000,125000,11,-2.03811904134
125000,125000,191,0.0
125000,125000,171,0.0
125000,125000,151,0.0
125000,125000,131,0.0
125000,125000,111,0.0
125000,125000,91,0.0
125000,125000,71,0.0
125000,125000,51,0.0
125000,125000,31,0.0
125000,125000,11,-0.796524701836
175000,125000,191,0.0
175000,125000,171,0.0
175000,125000,151,0.0
175000,125000,131,0.0
175000,125000,111,0.0
175000,125000,91,0.0
175000,125000,71,0.0
175000,125000,51,0.0
175000,125000,31,0.0
175000,125000,11,0.0
225000,125000,191,0.0
225000,125000,171,0.0
225000,125000,151,0.0
225000,125000,131,0.0
225000,125000,111,0.0
225000,125000,91,0.0
225000,125000,71,0.0
225000,125000,51,0.0
225000,125000,31,0.0
225000,125000,11,0.0
-225000,175000,191,-1.81962054373
-225000,175000,171,-2.33147531444
-225000,175000,151,-2.63866837848
-225000,175000,131,-2.83292162343
-225000,175000,111,-3.19768519285
-225000,175000,91,-3.46475944488
-225000,175000,71,-3.93135961805
-225000,175000,51,-4.52307706324
-225000,175000,31,-4.92618262198
-225000,175000,11,-5.25413808367
-175000,175000,191,-2.34478611867
-175000,175000,171,-2.89537600475
-175000,175000,151,-3.20950554102
-175000,175000,131,-3.52994459453
-175000,175000,111,-3.93411727705
-175000,175000,91,-4.18460412588
-175000,175000,71,-4.83194523584
-175000,175000,51,-5.57667717636
-175000,175000,31,-6.23006259743
-175000,175000,11,-6.96467444404
-125000,175000,191,-2.37222260051
-125000,175000,171,-2.87204629697
-125000,175000,151,-3.28395514841
-125000,175000,131,-3.53281237965
-125000,175000,111,-3.92419906769
-125000,175000,91,-4.25104640131
-125000,175000,71,-4.84644265158
-125000,175000,51,-5.75672098593
-125000,175000,31,-6.3134919511
-125000,175000,11,-7.12931611709
-75000,175000,191,-2.2440562741
-75000,175000,171,-2.93434738452
-75000,175000,151,-3.37302948205
-75000,175000,131,-3.66009030359
-75000,175000,111,-4.45511776735
-75000,175000,91,-4.9038048971
-75000,175000,71,-5.46907115955
-75000,175000,51,-6.40522730688
-75000,175000,31,-7.16014381833
-75000,175000,11,-8.2453754202
-25000,175000,191,-2.52983024535
-25000,175000,171,-3.70305221881
-25000,175000,151,-4.40839069544
-25000,175000,131,-4.71225109103
-25000,175000,111,-5.70378340942
-25000,175000,91,-6.37792146517
-25000,175000,71,-6.93356547298
-25000,175000,51,-8.38013331267
-25000,175000,31,-9.35568611992
-25000,175000,11,-10.3687164791
25000,175000,191,-0.181578184392
25000,175000,171,-0.336557935412
25000,175000,151,-0.256642352946
25000,175000,131,-0.40299096785
25000,175000,111,-0.319759006883
25000,175000,91,-0.433429462614
25000,175000,71,-0.397813067902
25000,175000,51,-0.548616487025
25000,175000,31,-0.881513767081
25000,175000,11,-1.31171363084
75000,175000,191,-0.188992245816
75000,175000,171,-0.356653318852
75000,175000,151,-0.242360070466
75000,175000,131,-0.407004798616
75000,175000,111,-0.347076934951
75000,175000,91,-0.4678864942
75000,175000,71,-0.260312954272
75000,175000,51,-0.433664294121
75000,175000,31,-0.616840004382
75000,175000,11,-1.08754829697
125000,175000,191,-0.0911409486516
125000,175000,171,-0.199659748703
125000,175000,151,-0.13701237838
125000,175000,131,-0.154174039458
125000,175000,111,-0.205297180148
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
