downstream,best_logP
-225000,-0.0
-175000,0.712345179351
-125000,1.43515691005
-75000,2.80411597789
-50000,2.60657762022
-38000,1.90242142255
-26000,1.94842914565
-25000,1.43408304928
-15000,10.350540328
-14000,6.96450919862
-9000,9.72266863595
-3000,13.0197578357
-2000,12.6561917724
0,20.4323360274
1000,20.3170185364
2000,19.7050768004
3000,20.5294074433
4000,26.9937532396
5000,31.004224337
6000,30.4624624795
7000,28.108526283
8000,27.1487580518
9000,27.5682516961
10000,25.4289610212
11000,25.1370017888
12000,26.0724391692
15000,25.194631883
18000,23.7101578233
21000,21.5391014173
22000,14.0250453703
25000,13.7158939889
27000,19.3357646963
33000,19.5755543228
34000,12.8971632229
46000,11.2687698357
50000,11.7328847518
75000,9.67328017391
100000,9.84965747356
125000,7.51428719661
175000,5.13596921676
225000,5.60510776031
