upstream,best_logP
-225000,2.52416128033
-175000,3.7725640483
-125000,4.66157522728
-100000,6.13008725596
-75000,6.68224594214
-63000,6.76127989043
-51000,7.86230526781
-50000,7.92659737615
-39000,8.7569724101
-28000,14.0084534074
-27000,12.851516078
-25000,14.0653179236
-22000,15.5241839077
-16000,16.2671872181
-15000,15.6445363714
-10000,18.5312537332
-7000,19.4059890954
-4000,20.7247323631
-3000,19.8597559532
-2000,20.4323360274
-1000,19.4530056784
0,19.9207858859
1000,24.0394393656
2000,31.004224337
3000,19.7172458217
4000,17.9135212877
5000,16.8128311486
6000,11.5466845911
7000,10.7710677387
8000,10.9543971255
9000,7.95281624898
11000,9.37780204044
14000,8.02435500196
20000,5.7464041993
21000,6.03333938675
25000,3.51591898929
50000,3.31198193279
75000,2.07187891753
125000,1.41544841029
175000,2.65994341109
225000,-0.0
