upstream,best_logP
-225000,9.568991168
-175000,10.5774783949
-125000,11.4852960724
-100000,13.253394616
-75000,13.7257345388
-50000,16.0431548971
-38000,17.0302580535
-27000,21.5559272564
-26000,20.14839042
-25000,20.0782310384
-21000,22.3776241764
-15000,24.2873789269
-14000,22.3860884098
-12000,25.1388218479
-9000,25.3831938224
-8000,25.4152205154
-7000,25.6490167688
-6000,25.2957480463
-5000,25.9156271246
-4000,26.8748218877
-3000,26.5552937889
-2000,26.1409023055
-1000,26.2379919039
0,26.6288270844
1000,29.7970375391
2000,32.8611137096
3000,22.5149481283
4000,17.8817872779
5000,14.4082715636
6000,10.4937042429
9000,8.93799051913
10000,8.19549054332
15000,8.15983427702
21000,7.67591604883
22000,7.02891831663
25000,2.31390495505
34000,3.99467194306
46000,5.58986508614
50000,3.36082307794
75000,2.0871540715
125000,1.92203073231
175000,2.7887070996
225000,-0.0
