downstream,best_logP
-225000,-0.0
-175000,0.755798209073
-125000,1.6928216498
-75000,2.74489161457
-50000,2.60893270013
-25000,4.16260083621
-14000,8.52907578744
-13000,7.85683162311
-8000,11.2578355546
-5000,10.5422222267
-2000,15.080622224
-1000,14.2938443037
0,23.6797979747
1000,31.4103132786
2000,30.652211614
3000,31.5995297558
4000,31.6513227896
5000,33.1459228464
6000,33.746799707
7000,32.6535698911
8000,32.1115104899
9000,31.6361894509
10000,31.0090816937
11000,30.9480943051
12000,31.4223538207
13000,31.0854771639
16000,28.1709678662
22000,25.4519474846
23000,25.3671349962
25000,24.6339938534
28000,23.6249017386
34000,23.8163377134
35000,23.8351272128
47000,22.3614312787
50000,22.0021853901
59000,21.0943385261
71000,19.4277635004
75000,19.3700887782
100000,18.5505856657
125000,17.6892523542
175000,14.779712848
225000,15.0942940828
