upstream tss distance,best_logP
-225000,11.62423513
-175000,13.71428676
-125000,14.34483431
-100000,16.95590613
-75000,17.52798054
-50000,21.65958461
-38000,23.0188901
-27000,27.03191708
-26000,25.27082975
-25000,23.67979797
-21000,27.37321666
-15000,29.37745679
-14000,27.2088368
-12000,29.81361175
-9000,30.20341439
-6000,30.05685394
-5000,30.99061422
-4000,31.65132279
-3000,30.67821537
-2000,31.34144182
-1000,31.43091565
0,31.68571928
1000,32.65356989
2000,33.74679971
3000,26.07685016
4000,18.05210282
5000,15.54237281
6000,12.27711761
9000,10.50136631
10000,8.200703315
15000,8.678339438
21000,8.095451794
22000,7.098655933
25000,3.674563623
34000,4.024214696
46000,5.628351542
50000,3.305351296
75000,2.026528181
125000,1.916162946
175000,2.605014687
225000,0
