downstream tss distance,best_logP
-225000,0
-175000,0.388801714
-125000,1.165410172
-75000,1.960482545
-50000,1.007228303
-38000,1.286051441
-26000,4.225621769
-25000,2.375724047
-15000,3.208953939
-14000,5.763479369
-9000,5.607483001
-6000,4.935166611
-5000,8.30833485
-4000,6.994736685
-3000,9.145521723
-2000,8.41663506
-1000,11.25580334
0,21.43105435
1000,23.79510325
2000,23.13119758
3000,22.02903771
4000,24.14931925
5000,24.19680984
6000,23.35372789
7000,19.80416164
8000,19.53316713
9000,20.77888375
10000,16.19202958
12000,17.05676894
15000,15.01023354
21000,13.04851588
22000,12.73596993
25000,12.04966963
27000,11.00040773
33000,10.83934922
34000,11.92512181
46000,10.17318318
50000,9.118060295
75000,8.042373539
100000,7.258166849
125000,2.86775306
150000,3.569559979
175000,3.554963341
225000,0.470166103
