upstream tss distance,best_logP
-225000,2.521160535
-175000,5.003984481
-150000,5.329880941
-125000,6.13810921
-100000,8.011994309
-75000,7.957090949
-63000,8.550556975
-51000,10.00159853
-50000,11.33314085
-40000,13.95657158
-39000,12.20097703
-34000,14.94419067
-28000,15.82278429
-27000,13.79667425
-25000,17.14169823
-22000,16.67171511
-16000,19.14982092
-15000,16.19202958
-13000,20.3147958
-12000,21.31501819
-11000,18.95216086
-10000,20.34887136
-9000,20.86984003
-8000,22.33366559
-7000,22.12926078
-6000,19.65776573
-5000,23.37694296
-4000,23.13119758
-3000,22.35643729
-2000,24.14931925
-1000,20.77888375
0,21.79074764
1000,24.19680984
2000,23.35372789
5000,0.25065329
8000,5.39E-08
9000,5.171676313
21000,0.006472416
25000,2.183398598
75000,1.23068342
125000,0.404280737
175000,0.218402292
225000,0
