downstream tss distance,best_logP
-225000,0
-175000,0.76371266
-125000,1.606833147
-75000,2.800210757
-50000,3.121410151
-38000,2.218199908
-26000,4.038466567
-25000,2.166134054
-15000,10.11694921
-14000,7.823464163
-9000,9.781569597
-3000,13.80753865
-2000,13.34727965
0,27.05593942
1000,28.03921475
2000,27.68524784
3000,28.45760935
4000,28.80205816
5000,32.0674936
6000,31.94013351
7000,29.80065848
8000,29.29670099
9000,30.50992713
10000,28.41101983
11000,27.91297867
12000,28.66131946
15000,27.2304089
18000,26.18098697
21000,23.45155824
22000,21.9190725
25000,20.86559967
27000,22.22082856
33000,22.06525233
34000,20.09303606
46000,18.81644259
50000,18.13369691
75000,16.03998693
100000,15.25656743
125000,13.88578169
175000,10.36871648
225000,10.03811502
