upstream tss distance,best_logP
-225000,6.655522778
-175000,9.147953987
-125000,9.715080033
-100000,11.9528188
-75000,14.31041315
-63000,15.85308867
-51000,18.07232935
-50000,16.34270088
-39000,18.31754755
-28000,23.17609164
-27000,21.84808232
-25000,21.51584071
-22000,24.56046575
-16000,25.255097
-15000,24.22828381
-10000,26.83766698
-7000,27.37548286
-4000,28.80205816
-3000,27.5508698
-2000,27.52245992
-1000,27.6071701
0,27.64555014
1000,29.60229817
2000,32.0674936
3000,20.87025888
4000,18.23029336
5000,16.33240522
6000,12.3632712
7000,11.00541428
8000,11.47492018
9000,8.112311739
11000,10.50752345
14000,7.799934263
20000,6.953679373
21000,5.759674294
25000,3.639422972
50000,3.247687801
75000,2.038119041
125000,1.484197709
175000,2.545852247
225000,0
