Upstream TSS distance,best_logP
-225000,8.279147254
-175000,11.6728406
-125000,12.89890144
-100000,15.63666196
-75000,16.88606964
-50000,23.53230785
-38000,24.99714535
-27000,29.51750912
-26000,28.00215449
-25000,25.7337212
-21000,30.02680937
-15000,31.91421973
-14000,29.62575209
-12000,32.71033722
-9000,32.53722693
-8000,33.00419121
-7000,33.04825142
-6000,32.69816174
-5000,33.18139114
-4000,34.37144052
-3000,34.14364782
-2000,34.31128924
-1000,34.63875483
0,34.53075884
1000,33.81969404
2000,33.63171722
3000,24.48729775
6000,11.08164001
9000,10.56174369
10000,8.971137035
15000,9.884731807
21000,7.883333238
22000,6.735024328
25000,3.962474385
34000,5.052759768
46000,5.747041813
50000,3.392018035
75000,1.989389213
125000,1.477613999
175000,2.290171006
225000,0
