Downstream TSS distance,best_logP
-225000,0
-175000,0.779017399
-125000,1.78462969
-75000,2.821501597
-50000,2.549897685
-25000,4.485118106
-14000,9.389738471
-13000,8.777662018
-8000,10.98178267
-5000,11.49994251
-2000,15.26297661
-1000,16.23766267
0,29.40301713
1000,33.1023113
2000,32.65423839
3000,34.065664
4000,34.37144052
5000,33.93062207
6000,34.63875483
7000,33.84289646
8000,33.54680013
9000,33.27939339
10000,32.38612111
11000,32.24004097
13000,31.14108982
16000,30.22048257
22000,27.52424115
23000,27.3234167
25000,26.08156681
28000,25.42306686
34000,24.81440012
35000,24.81387503
47000,22.96464336
50000,22.07298018
59000,20.9523825
71000,20.13391047
75000,19.22804635
100000,17.63455244
125000,15.29541836
175000,12.16387355
225000,11.08052196
