upstream,downstream,height,logP
25000.0,125000.0,191.0,-2.84338630661
25000.0,125000.0,171.0,-3.01982951257
25000.0,125000.0,151.0,-3.9254492458
25000.0,125000.0,131.0,-4.77901289975
25000.0,125000.0,111.0,-5.13830868537
25000.0,125000.0,91.0,-5.08704158466
25000.0,125000.0,71.0,-6.35962218246
25000.0,125000.0,51.0,-6.95579827027
25000.0,125000.0,31.0,-8.32177434585
25000.0,125000.0,11.0,-10.8280714729
75000.0,125000.0,191.0,-1.07865721018
75000.0,125000.0,171.0,-0.933755342799
75000.0,125000.0,151.0,-1.3002461127
75000.0,125000.0,131.0,-1.96863257931
75000.0,125000.0,111.0,-1.78505282565
75000.0,125000.0,91.0,-1.69136801308
75000.0,125000.0,71.0,-2.75606124815
75000.0,125000.0,51.0,-3.84456281374
75000.0,125000.0,31.0,-5.66597006063
75000.0,125000.0,11.0,-7.78328835572
125000.0,125000.0,191.0,0.0
125000.0,125000.0,171.0,0.0
125000.0,125000.0,151.0,0.0
125000.0,125000.0,131.0,0.0
125000.0,125000.0,111.0,0.0
125000.0,125000.0,91.0,0.0
125000.0,125000.0,71.0,0.0
125000.0,125000.0,51.0,0.0
125000.0,125000.0,31.0,0.0
125000.0,125000.0,11.0,0.0
175000.0,125000.0,191.0,0.0
175000.0,125000.0,171.0,0.0
175000.0,125000.0,151.0,0.0
175000.0,125000.0,131.0,0.0
175000.0,125000.0,111.0,0.0
175000.0,125000.0,91.0,0.0
175000.0,125000.0,71.0,0.0
175000.0,125000.0,51.0,0.0
175000.0,125000.0,31.0,0.0
175000.0,125000.0,11.0,0.0
225000.0,125000.0,191.0,0.0
225000.0,125000.0,171.0,0.0
225000.0,125000.0,151.0,0.0
225000.0,125000.0,131.0,0.0
225000.0,125000.0,111.0,0.0
225000.0,125000.0,91.0,0.0
225000.0,125000.0,71.0,0.0
225000.0,125000.0,51.0,0.0
225000.0,125000.0,31.0,0.0
225000.0,125000.0,11.0,0.0
-225000.0,175000.0,191.0,-6.85447554878
-225000.0,175000.0,171.0,-6.17508265021
-225000.0,175000.0,151.0,-6.44815318044
-225000.0,175000.0,131.0,-7.10923629819
-225000.0,175000.0,111.0,-7.29920524839
-225000.0,175000.0,91.0,-7.88410373246
-225000.0,175000.0,71.0,-8.41378696306
-225000.0,175000.0,51.0,-9.07943162459
-225000.0,175000.0,31.0,-9.94889056072
-225000.0,175000.0,11.0,-10.1732335646
-175000.0,175000.0,191.0,-7.2811686767
-175000.0,175000.0,171.0,-6.60998593503
-175000.0,175000.0,151.0,-7.10403311191
-175000.0,175000.0,131.0,-7.6351192493
-175000.0,175000.0,111.0,-8.07855456081
-175000.0,175000.0,91.0,-8.35727867819
-175000.0,175000.0,71.0,-9.05828867555
-175000.0,175000.0,51.0,-9.97317807727
-175000.0,175000.0,31.0,-10.729213531
-175000.0,175000.0,11.0,-11.2285399605
-125000.0,175000.0,191.0,-7.21338198933
-125000.0,175000.0,171.0,-6.84425142662
-125000.0,175000.0,151.0,-7.6905428604
-125000.0,175000.0,131.0,-8.25701404913
-125000.0,175000.0,111.0,-8.8573639098
-125000.0,175000.0,91.0,-9.48079914041
-125000.0,175000.0,71.0,-10.2580257073
-125000.0,175000.0,51.0,-10.8345102558
-125000.0,175000.0,31.0,-11.5062140971
-125000.0,175000.0,11.0,-11.7629918272
-75000.0,175000.0,191.0,-6.84127271583
-75000.0,175000.0,171.0,-7.05639594068
-75000.0,175000.0,151.0,-7.75014571447
-75000.0,175000.0,131.0,-7.91023252512
-75000.0,175000.0,111.0,-8.85807028922
-75000.0,175000.0,91.0,-9.78594799413
-75000.0,175000.0,71.0,-10.741179794
-75000.0,175000.0,51.0,-11.7508243832
-75000.0,175000.0,31.0,-12.9080701961
-75000.0,175000.0,11.0,-13.6407955961
-25000.0,175000.0,191.0,-6.83364570712
-25000.0,175000.0,171.0,-7.22362561726
-25000.0,175000.0,151.0,-7.90530926729
-25000.0,175000.0,131.0,-8.16634500841
-25000.0,175000.0,111.0,-8.82577418599
