downstream,best_logP
-225000,0.796524701836
-175000,3.4019495811
-125000,5.47389069554
-75000,5.3615884666
-50000,7.18462953242
-25000,9.08860784277
-13000,11.2751758981
-7000,14.0586369715
-4000,14.9468976655
-1000,16.4623646218
0,18.6814913311
1000,21.0927252101
2000,20.8803467068
3000,21.7615378684
4000,21.6592787891
5000,21.1952258878
6000,21.3210373702
7000,21.1480020602
8000,20.3250502525
9000,19.9300015033
10000,19.6703246159
11000,19.6368474931
12000,19.983586179
14000,19.1322777686
17000,18.0671502991
23000,18.0671608114
24000,17.7279585498
25000,17.3835427624
29000,17.2624008759
35000,17.1105726307
36000,17.0087449963
48000,18.4361704456
50000,17.8102648078
60000,17.0794001106
72000,17.208387563
75000,16.43373696
84000,16.6340244703
96000,16.4476027899
100000,16.6926816202
125000,15.8363869646
175000,12.8575895673
225000,10.8104081318
