height,best_logP
0.5,20.8873532286
1.5,20.7293010448
2.5,20.9906320617
3.5,21.0703432675
4.5,21.6751252118
1.0,20.7775539782
2.0,20.7873244463
3.0,21.3017689414
4.0,21.5383689981
5.0,21.7615378684
6.0,21.5696393193
7.0,21.1874186043
8.0,20.6341048716
9.0,20.3084319029
10.0,19.5072283055
11.0,17.7260470503
12.0,19.154295071
14.0,19.7843513533
16.0,19.616975167
21.0,17.0148836603
26.0,17.2516031387
31.0,16.2480056653
41.0,14.4285594967
51.0,14.4572119502
71.0,12.5439798105
91.0,10.4522356723
111.0,9.23025550184
131.0,8.8068839144
151.0,8.23135110952
171.0,7.64235094083
191.0,8.00572358124
