upstream,best_logP
-225000,9.66937090732
-175000,10.2444174466
-125000,11.4819451158
-100000,12.8283434164
-75000,13.4373194488
-50000,15.9208175166
-38000,15.9972808106
-27000,18.2189808017
-26000,17.4664479174
-25000,17.6127778541
-21000,17.9014991535
-18000,18.5010282785
-15000,18.9766055285
-14000,19.6182389419
-13000,19.6547469101
-12000,19.6974132173
-11000,20.5371008232
-10000,21.1332028993
-9000,21.4202477286
-8000,21.7615378684
-7000,21.3472868501
-6000,21.5261475379
-5000,21.2960928136
-4000,20.6322390497
-3000,20.2927493651
-2000,19.983586179
0,20.3250502525
3000,18.9663646564
9000,15.3211587726
10000,15.6408266164
15000,12.997284104
21000,14.9913902049
22000,12.9125286294
25000,13.3414452693
34000,14.2661288187
46000,10.4131203967
50000,9.39570398702
75000,7.89866875963
125000,3.95638191716
175000,3.66904755595
225000,0.796524701836
