downstream,best_logP
-225000,0.796524701836
-175000,4.223267057
-125000,6.34641199634
-75000,5.54839482457
-50000,5.65530155629
-25000,9.1948332827
-13000,11.2985215449
-7000,13.7754313096
-4000,14.9223360039
-1000,16.8630513403
0,19.218403538
1000,21.411185858
2000,21.197123382
3000,22.0624207224
4000,21.9761339625
5000,21.8291110944
6000,21.6676398696
7000,20.9903230138
8000,20.752701419
9000,20.9939786412
10000,20.6844112946
11000,20.7883200489
12000,21.2610242651
14000,20.8001183293
17000,19.0326467447
23000,18.7755550552
24000,18.9772036693
25000,18.7464014134
29000,18.9436380427
35000,19.1415194426
36000,18.9441268233
48000,19.6967197698
50000,19.7663926907
60000,19.3247550935
72000,19.8262967141
75000,18.9483419767
84000,19.0230213802
96000,18.3540988865
100000,18.230958169
125000,17.7542211612
150000,16.6189412021
175000,15.6779515584
225000,12.6126990487
