height,best_logP
0.5,21.0381840412
1.5,21.2628065093
2.5,21.6490309016
3.5,21.5603515808
4.5,21.8266965215
1.0,20.6634112215
2.0,20.5661180891
3.0,21.9761339625
4.0,21.6921225959
5.0,22.0348754306
6.0,22.0624207224
7.0,21.728164951
8.0,21.307330587
9.0,20.4734192141
10.0,19.9653212837
11.0,18.1140964209
12.0,19.4321912186
14.0,20.2696836016
16.0,20.4126728422
21.0,17.7480800068
26.0,17.9349976675
31.0,16.7402520618
41.0,14.6284974595
51.0,14.6600814466
71.0,12.8342143138
91.0,10.5522319979
111.0,9.08914887608
131.0,8.68401488415
151.0,8.16112505951
171.0,7.57691932642
191.0,7.95204525288
