upstream,best_logP
-225000,11.1719190565
-175000,11.5984169606
-125000,12.6683599128
-100000,14.5397352938
-75000,15.3818522609
-50000,16.8612685771
-38000,16.8485072718
-27000,18.6281714272
-26000,18.1510925838
-25000,18.048675112
-21000,18.4443101528
-18000,18.9089340649
-15000,19.5484025719
-14000,20.1987898325
-13000,20.2794095217
-12000,20.4956674387
-11000,21.3232914585
-10000,21.9761339625
-9000,21.9399526215
-8000,22.0624207224
-7000,21.7890607759
-6000,21.9257467618
-5000,21.8717468789
-4000,21.012492623
-3000,20.3009943428
-2000,21.2610242651
0,20.8001183293
3000,19.8545963414
9000,14.6976847674
10000,15.6901077241
15000,14.9963292938
21000,16.4218322338
22000,13.9648947052
25000,14.576081363
34000,14.2748260292
46000,12.1028387565
50000,11.02166851
75000,8.79836162074
125000,4.2964104725
175000,3.99406030034
225000,0.796524701836
