downstream,best_logP
-225000,0.796524701836
-175000,3.97574671507
-125000,6.23550114602
-75000,5.97666200423
-50000,7.60423340565
-25000,9.11381529329
-14000,10.5167294463
-13000,10.726084465
-8000,12.1181351007
-7000,12.5382984148
-5000,14.2510222854
-4000,14.6662193529
-2000,17.1473795146
-1000,16.9326235807
0,19.1361315166
1000,21.4225967905
2000,22.0168098214
3000,22.7331973536
4000,22.6020520725
5000,22.5882757832
6000,22.3134343992
7000,22.4373734552
8000,21.9532984911
9000,22.3377638845
10000,22.3569876357
11000,22.6735618255
12000,20.965830688
13000,21.2420967174
14000,21.1291145077
16000,21.4551098601
17000,20.287238289
22000,20.6631598032
23000,20.8196450432
24000,18.909029092
25000,20.5944802187
28000,20.1202200926
29000,19.4392749779
34000,19.7980558709
35000,20.1726244588
36000,18.1515394045
47000,21.2008941262
48000,19.2367944089
50000,20.2745628888
59000,19.8990087403
60000,17.9991400493
71000,20.0924874191
72000,18.3187571939
75000,19.0478629316
84000,17.5677362049
96000,17.4044713889
100000,18.3185928273
125000,17.9391840089
175000,15.9562918408
225000,14.1379334559
