height,best_logP
0.5,22.3304663277
1.5,22.6735618255
2.5,22.2644939183
3.5,21.9282525525
4.5,22.6020520725
1.0,22.4249093719
2.0,22.3927969144
3.0,22.3544170507
4.0,22.7331973536
5.0,22.5184734942
6.0,22.3420336635
7.0,21.7102445919
8.0,21.289352093
10.0,20.6383337911
11.0,18.8882646503
12.0,20.212642495
14.0,20.6070420726
16.0,20.3565810052
21.0,17.8594121742
26.0,17.997893132
31.0,16.9649132863
41.0,15.1654463063
51.0,14.7459526645
71.0,13.0521991924
91.0,11.0323456554
111.0,9.96288817562
131.0,9.11943730764
151.0,8.32812115914
171.0,7.66583820687
191.0,7.9681793696
