upstream,best_logP
-225000,12.2674863384
-175000,13.5849797535
-125000,14.8888332992
-100000,15.9808773551
-75000,16.8650730323
-50000,19.0508576585
-38000,19.4816244122
-27000,19.770576052
-26000,19.7919457587
-25000,19.4180503491
-21000,19.6092505554
-18000,19.661100613
-15000,20.1608976401
-14000,20.6200540252
-13000,20.8830426111
-12000,20.9083272862
-11000,21.4529324562
-10000,22.014108725
-9000,22.2924238025
-8000,22.7331973536
-7000,22.4235164834
-6000,22.3752730755
-5000,22.0404468614
-4000,21.4618345657
-3000,21.5251542681
-2000,22.6735618255
-1000,21.6030358907
0,21.5829478093
3000,20.8193352427
9000,16.9187699279
10000,16.0083454523
15000,15.0037160434
21000,15.8317321558
22000,13.959149629
25000,13.6151343785
34000,14.3076780592
46000,12.3127428346
50000,10.2531439311
75000,8.51431004076
125000,4.34102298531
175000,4.15185208959
225000,0.796524701836
