downstream,best_logP
-225000,0.796524701836
-175000,3.86793997254
-125000,5.76191314535
-75000,5.21594810068
-50000,7.02205755763
-25000,9.25316568126
-14000,9.7923491884
-13000,9.72127655781
-8000,9.94473824915
-7000,10.8228139335
-2000,15.9314149201
-1000,16.799757071
0,16.5229817431
1000,21.7851433671
2000,22.9507733877
4000,22.5911490075
5000,24.132467887
6000,24.2991984963
7000,24.9904523267
8000,25.2704057141
9000,25.3068489452
10000,25.7160670029
11000,25.7405210231
12000,26.2126333559
13000,25.3417071476
14000,25.7791984394
15000,25.6690015423
16000,25.4249334292
17000,24.6399137192
18000,24.737318049
19000,24.9314265463
20000,24.9263832224
21000,24.9470595953
22000,25.2302501943
23000,24.3888081204
24000,20.3799370277
25000,23.8406538936
28000,23.3022231096
29000,21.4232684203
34000,21.8020762418
35000,22.4265253094
36000,19.2539375339
47000,21.8036542589
48000,19.5391563819
50000,21.1440060564
59000,20.5321901724
60000,19.130859612
71000,20.3009039746
72000,18.9255609421
75000,19.5787678874
84000,18.2653946675
96000,17.8054901618
100000,18.0235162952
125000,16.6454376068
175000,14.3328177046
225000,12.8436755988
