height,best_logP
0.5,25.5569447308
1.5,26.2126333559
2.5,25.4442179413
3.5,24.3570421929
4.5,21.1808159841
1.0,25.9191706998
2.0,24.631589302
3.0,25.2246692079
4.0,24.7244882219
5.0,24.6719563822
6.0,23.3926445536
8.0,22.3549247391
10.0,21.7687222691
11.0,20.6450252573
12.0,21.3378387562
14.0,21.7361304364
16.0,21.4501545816
21.0,18.8137641742
26.0,18.8583936817
31.0,17.7750261021
41.0,15.8708522203
51.0,15.0170301853
71.0,13.2922996278
91.0,11.189058847
111.0,10.1977886362
131.0,9.10906156957
151.0,8.26322622722
171.0,7.56750687381
191.0,7.89593251796
