upstream,best_logP
-225000,11.6468153034
-175000,12.7141507098
-125000,13.5349737573
-100000,14.2993723454
-75000,15.6541264475
-50000,17.7423985991
-38000,18.3905842882
-27000,19.7749795383
-26000,19.4529277304
-25000,19.9680544779
-21000,20.090998066
-15000,20.7382170155
-14000,20.7210238909
-12000,21.5316728867
-9000,23.1976777001
-8000,23.5962005563
-7000,23.6250593379
-6000,24.3242799638
-5000,24.2241284758
-4000,24.3548844722
-3000,24.7769377726
-2000,25.9772558113
-1000,24.7873699336
0,24.8802923211
1000,24.4780131834
2000,26.2126333559
3000,23.3332772646
4000,22.5109186015
5000,22.3466064847
6000,21.1012115341
9000,18.9018419815
10000,18.3585999477
15000,16.8021951205
21000,16.1420490624
22000,14.4839465379
25000,14.238933289
34000,14.8277018087
46000,11.7710922046
50000,10.7463673417
75000,8.77214769957
125000,4.8938652872
175000,3.88269305827
225000,0.796524701836
