upstream,downstream,height,logP
25000.0,-125000.0,191.0,0.0
25000.0,-125000.0,171.0,0.0
25000.0,-125000.0,151.0,0.0
25000.0,-125000.0,131.0,0.0
25000.0,-125000.0,111.0,0.0
25000.0,-125000.0,91.0,0.0
25000.0,-125000.0,71.0,0.0
25000.0,-125000.0,51.0,0.0
25000.0,-125000.0,31.0,0.0
25000.0,-125000.0,11.0,0.0
75000.0,-125000.0,191.0,0.0
75000.0,-125000.0,171.0,0.0
75000.0,-125000.0,151.0,0.0
75000.0,-125000.0,131.0,0.0
75000.0,-125000.0,111.0,0.0
75000.0,-125000.0,91.0,0.0
75000.0,-125000.0,71.0,0.0
75000.0,-125000.0,51.0,0.0
75000.0,-125000.0,31.0,0.0
75000.0,-125000.0,11.0,0.0
125000.0,-125000.0,191.0,0.0
125000.0,-125000.0,171.0,0.0
125000.0,-125000.0,151.0,0.0
125000.0,-125000.0,131.0,0.0
125000.0,-125000.0,111.0,0.0
125000.0,-125000.0,91.0,0.0
125000.0,-125000.0,71.0,0.0
125000.0,-125000.0,51.0,0.0
125000.0,-125000.0,31.0,0.0
125000.0,-125000.0,11.0,0.0
175000.0,-125000.0,191.0,0.0
175000.0,-125000.0,171.0,0.0
175000.0,-125000.0,151.0,0.0
175000.0,-125000.0,131.0,0.0
175000.0,-125000.0,111.0,0.0
175000.0,-125000.0,91.0,0.0
175000.0,-125000.0,71.0,0.0
175000.0,-125000.0,51.0,0.0
175000.0,-125000.0,31.0,0.0
175000.0,-125000.0,11.0,0.0
225000.0,-125000.0,191.0,0.0
225000.0,-125000.0,171.0,0.0
225000.0,-125000.0,151.0,0.0
225000.0,-125000.0,131.0,0.0
225000.0,-125000.0,111.0,0.0
225000.0,-125000.0,91.0,0.0
225000.0,-125000.0,71.0,0.0
225000.0,-125000.0,51.0,0.0
225000.0,-125000.0,31.0,0.0
225000.0,-125000.0,11.0,0.0
-225000.0,-75000.0,191.0,0.0
-225000.0,-75000.0,171.0,0.0
-225000.0,-75000.0,151.0,-1.1029978667
-225000.0,-75000.0,131.0,-0.68774303983
-225000.0,-75000.0,111.0,-1.30582882124
-225000.0,-75000.0,91.0,-1.58920915186
-225000.0,-75000.0,71.0,-2.17292194976
-225000.0,-75000.0,51.0,-3.1827289018
-225000.0,-75000.0,31.0,-2.80879240013
-225000.0,-75000.0,11.0,-3.94660090681
-175000.0,-75000.0,191.0,0.0
-175000.0,-75000.0,171.0,0.0
-175000.0,-75000.0,151.0,-1.1029978667
