upstream,downstream,height,logP
25000.0,125000.0,191.0,-0.796524701836
25000.0,125000.0,171.0,-0.552044948065
25000.0,125000.0,151.0,-0.895687481655
25000.0,125000.0,131.0,-1.81322566558
25000.0,125000.0,111.0,-2.10399103825
25000.0,125000.0,91.0,-3.10229002012
25000.0,125000.0,71.0,-2.29596819435
25000.0,125000.0,51.0,-3.19960668839
25000.0,125000.0,31.0,-5.5565414493
25000.0,125000.0,11.0,-8.9945706961
75000.0,125000.0,191.0,-0.796524701836
75000.0,125000.0,171.0,-0.796524701836
75000.0,125000.0,151.0,-0.549292834687
75000.0,125000.0,131.0,-1.33039090744
75000.0,125000.0,111.0,-1.30007147711
75000.0,125000.0,91.0,-2.30949538655
75000.0,125000.0,71.0,-2.48964336455
75000.0,125000.0,51.0,-2.8384176477
75000.0,125000.0,31.0,-5.03445346615
75000.0,125000.0,11.0,-7.29421082696
125000.0,125000.0,191.0,0.0
125000.0,125000.0,171.0,0.0
125000.0,125000.0,151.0,0.0
125000.0,125000.0,131.0,0.0
125000.0,125000.0,111.0,0.0
125000.0,125000.0,91.0,0.0
125000.0,125000.0,71.0,0.0
125000.0,125000.0,51.0,0.0
125000.0,125000.0,31.0,0.0
125000.0,125000.0,11.0,0.0
175000.0,125000.0,191.0,0.0
175000.0,125000.0,171.0,0.0
175000.0,125000.0,151.0,0.0
175000.0,125000.0,131.0,0.0
175000.0,125000.0,111.0,0.0
175000.0,125000.0,91.0,0.0
175000.0,125000.0,71.0,0.0
175000.0,125000.0,51.0,0.0
175000.0,125000.0,31.0,0.0
175000.0,125000.0,11.0,0.0
225000.0,125000.0,191.0,0.0
225000.0,125000.0,171.0,0.0
225000.0,125000.0,151.0,0.0
225000.0,125000.0,131.0,0.0
225000.0,125000.0,111.0,0.0
225000.0,125000.0,91.0,0.0
225000.0,125000.0,71.0,0.0
225000.0,125000.0,51.0,0.0
225000.0,125000.0,31.0,0.0
225000.0,125000.0,11.0,0.0
-225000.0,175000.0,191.0,-1.10299487158
-225000.0,175000.0,171.0,-1.29880225972
-225000.0,175000.0,151.0,-2.48166535951
-225000.0,175000.0,131.0,-3.45706378512
-225000.0,175000.0,111.0,-3.01682644867
-225000.0,175000.0,91.0,-3.78606063283
-225000.0,175000.0,71.0,-3.41160800579
-225000.0,175000.0,51.0,-4.34333585932
-225000.0,175000.0,31.0,-5.38065576292
-225000.0,175000.0,11.0,-8.54075851231
-175000.0,175000.0,191.0,-1.10299487158
-175000.0,175000.0,171.0,-1.29880225972
-175000.0,175000.0,151.0,-2.48166535951
-175000.0,175000.0,131.0,-4.33143890621
-175000.0,175000.0,111.0,-3.63153641829
-175000.0,175000.0,91.0,-3.34836470617
-175000.0,175000.0,71.0,-3.66736202663
-175000.0,175000.0,51.0,-4.04525800599
-175000.0,175000.0,31.0,-5.85593186738
-175000.0,175000.0,11.0,-9.26711283098
-125000.0,175000.0,191.0,-1.10299487158
-125000.0,175000.0,171.0,-1.29880225972
-125000.0,175000.0,151.0,-2.25279034348
-125000.0,175000.0,131.0,-4.32806397312
-125000.0,175000.0,111.0,-4.20132504477
-125000.0,175000.0,91.0,-3.54317091151
-125000.0,175000.0,71.0,-3.10191055147
-125000.0,175000.0,51.0,-3.86509123511
-125000.0,175000.0,31.0,-5.94431978802
-125000.0,175000.0,11.0,-9.49825184594
-75000.0,175000.0,191.0,-1.10299487158
-75000.0,175000.0,171.0,-1.29880225972
-75000.0,175000.0,151.0,-2.25279034348
-75000.0,175000.0,131.0,-3.85989091859
-75000.0,175000.0,111.0,-3.58584457607
-75000.0,175000.0,91.0,-4.37163932451
-75000.0,175000.0,71.0,-3.55594638241
-75000.0,175000.0,51.0,-4.06118049678
-75000.0,175000.0,31.0,-6.77806083611
-75000.0,175000.0,11.0,-10.7406327019
-25000.0,175000.0,191.0,-1.10299487158
-25000.0,175000.0,171.0,-0.804868161318
-25000.0,175000.0,151.0,-1.56613207742
-25000.0,175000.0,131.0,-2.92934759196
-25000.0,175000.0,111.0,-2.79005998456
-25000.0,175000.0,91.0,-3.55132166135
-25000.0,175000.0,71.0,-3.29239455668
-25000.0,175000.0,51.0,-3.87806457457
-25000.0,175000.0,31.0,-7.04002565772
-25000.0,175000.0,11.0,-10.8632356609
25000.0,175000.0,191.0,-0.796524701836
25000.0,175000.0,171.0,-0.552044948065
25000.0,175000.0,151.0,-1.11487989437
25000.0,175000.0,131.0,-2.46953292233
25000.0,175000.0,111.0,-2.4274595279
25000.0,175000.0,91.0,-2.4399755569
25000.0,175000.0,71.0,-2.27396472462
25000.0,175000.0,51.0,-2.37288417176
25000.0,175000.0,31.0,-4.82265745983
25000.0,175000.0,11.0,-7.87893583497
75000.0,175000.0,191.0,-0.796524701836
75000.0,175000.0,171.0,-0.796524701836
75000.0,175000.0,151.0,-0.801824168177
75000.0,175000.0,131.0,-2.01591371318
75000.0,175000.0,111.0,-1.62695192075
75000.0,175000.0,91.0,-1.78082576624
