downstream,best_logP
-225000,1.10299487158
-175000,3.75862238354
-125000,5.06885660626
-75000,5.598105404
-50000,7.08129434384
-25000,12.2869743401
-14000,13.452790562
-13000,13.3033098198
-8000,13.7937588741
-5000,12.8173028247
-2000,18.7239264318
-1000,20.0528808035
0,19.201615243
1000,20.3609430757
2000,21.1468374832
3000,22.1545766925
4000,25.9179042214
5000,27.0793435167
6000,26.2952060701
7000,25.5836887748
8000,24.959731398
9000,23.2841489434
10000,23.8379937752
11000,20.8381574975
13000,22.581980784
16000,20.7010348344
22000,17.1733116122
23000,17.5473432286
25000,17.7513686593
28000,16.49642616
34000,15.177555455
35000,14.9945323534
47000,14.2948457764
50000,12.8234889854
59000,11.6572503923
71000,12.0096631845
75000,11.5417508243
100000,11.0206356186
125000,10.4094667021
175000,8.56038255856
225000,7.15871826165
