height,best_logP
0.5,26.5346269117
1.5,26.1547483371
2.5,26.9182501264
3.5,26.300376371
4.5,24.9346562863
1.0,26.5595621582
2.0,27.0793435167
3.0,26.6988673924
4.0,25.3489163162
5.0,25.9179042214
6.0,24.8030816264
7.0,24.6367403102
8.0,22.0122391862
9.0,21.3033263101
10.0,19.6686429852
11.0,17.9067119806
12.0,17.8897111993
14.0,16.9979096999
16.0,16.0571662545
21.0,14.7491105476
26.0,12.7884071284
31.0,12.1717529213
41.0,10.2331251047
51.0,8.34818474256
71.0,5.26464786957
91.0,7.1436755521
111.0,5.6680272616
131.0,4.31122046038
151.0,2.9070417129
171.0,1.38179857783
191.0,1.10299487158
