upstream,best_logP
-225000,8.1147705185
-175000,8.69457262663
-125000,10.052913749
-100000,10.326765118
-75000,12.3843846347
-50000,14.8388770639
-38000,16.1398314358
-27000,17.616160353
-26000,17.0852438472
-25000,15.5765681922
-21000,17.6505747486
-15000,18.5921169911
-14000,18.1930819416
-9000,20.5406682913
-6000,21.1924290716
-5000,21.2079891171
-4000,20.7097696322
-3000,21.1509347364
-2000,21.8824404825
-1000,22.1545766925
0,24.2184383822
1000,25.9179042214
2000,27.0793435167
3000,24.3921115813
4000,19.1343711412
5000,18.2204767219
6000,18.4511350804
7000,17.0147970259
8000,15.9931068565
9000,17.7483570272
10000,14.939463792
12000,14.8407442861
15000,13.3683700466
21000,11.490236477
22000,11.8534687284
25000,12.8234889854
34000,12.4804336434
46000,13.4736287489
50000,8.8019952161
75000,8.65606585209
125000,5.32154705233
175000,4.0010171097
225000,0.301029995664
